symbol,date,open,high,low,close,volume,adjclose,dividends,splits
AIRT,2000-01-03,2.3333330154418945,2.3333330154418945,2.125,2.125,7950,1.4016388654708862,0.0,0.0
AIRT,2000-01-04,2.1666669845581055,2.1666669845581055,2.1666669845581055,2.1666669845581055,1800,1.4291223287582397,0.0,0.0
AIRT,2000-01-05,2.1666669845581055,2.1666669845581055,2.1666669845581055,2.1666669845581055,0,1.4291223287582397,0.0,0.0
AIRT,2000-01-06,2.1666669845581055,2.1666669845581055,2.1666669845581055,2.1666669845581055,0,1.4291223287582397,0.0,0.0
AIRT,2000-01-07,2.25,2.375,2.25,2.375,1050,1.566537857055664,0.0,0.0
AIRT,2000-01-10,2.25,2.25,2.25,2.25,300,1.4840885400772095,0.0,0.0
AIRT,2000-01-11,2.375,2.375,2.25,2.3333330154418945,5250,1.5390545129776,0.0,0.0
AIRT,2000-01-12,2.25,2.25,2.25,2.25,1500,1.4840885400772095,0.0,0.0
AIRT,2000-01-13,2.3333330154418945,2.3333330154418945,2.1666669845581055,2.3333330154418945,7950,1.5390545129776,0.0,0.0
AIRT,2000-01-14,2.1666669845581055,2.1666669845581055,2.1666669845581055,2.1666669845581055,3900,1.4291223287582397,0.0,0.0
AIRT,2000-01-18,2.25,2.25,2.1666669845581055,2.1666669845581055,900,1.4291223287582397,0.0,0.0
AIRT,2000-01-19,2.1666669845581055,2.1666669845581055,2.1666669845581055,2.1666669845581055,600,1.4291223287582397,0.0,0.0
AIRT,2000-01-20,2.1666669845581055,2.375,2.1666669845581055,2.375,1800,1.566537857055664,0.0,0.0
AIRT,2000-01-21,2.1666669845581055,2.375,2.125,2.125,19950,1.4016388654708862,0.0,0.0
AIRT,2000-01-24,2.125,2.125,2.125,2.125,3450,1.4016388654708862,0.0,0.0
AIRT,2000-01-25,2.375,2.375,2.375,2.375,150,1.566537857055664,0.0,0.0
AIRT,2000-01-26,2.125,2.125,2.125,2.125,3900,1.4016388654708862,0.0,0.0
AIRT,2000-01-27,2.125,2.125,2.125,2.125,900,1.4016388654708862,0.0,0.0
AIRT,2000-01-28,2.125,2.125,2.125,2.125,0,1.4016388654708862,0.0,0.0
AIRT,2000-01-31,2.375,2.375,2.125,2.125,1500,1.4016388654708862,0.0,0.0
AIRT,2000-02-01,2.3333330154418945,2.3333330154418945,2.125,2.125,3150,1.4016388654708862,0.0,0.0
AIRT,2000-02-02,2.125,2.125,2.125,2.125,0,1.4016388654708862,0.0,0.0
AIRT,2000-02-03,2.125,2.125,2.125,2.125,1650,1.4016388654708862,0.0,0.0
AIRT,2000-02-04,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,1050,1.5390545129776,0.0,0.0
AIRT,2000-02-07,2.125,2.125,2.125,2.125,1500,1.4016388654708862,0.0,0.0
AIRT,2000-02-08,2.3333330154418945,2.3333330154418945,2.25,2.3333330154418945,2550,1.5390545129776,0.0,0.0
AIRT,2000-02-09,2.375,2.375,2.1666669845581055,2.1666669845581055,450,1.4291223287582397,0.0,0.0
AIRT,2000-02-10,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,900,1.5390545129776,0.0,0.0
AIRT,2000-02-11,2.2916669845581055,2.3333330154418945,2.2916669845581055,2.3333330154418945,14550,1.5390545129776,0.0,0.0
AIRT,2000-02-14,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,5700,1.5390545129776,0.0,0.0
AIRT,2000-02-15,2.375,2.5,2.3333330154418945,2.3333330154418945,7950,1.5390545129776,0.0,0.0
AIRT,2000-02-16,2.2916669845581055,2.5,2.2916669845581055,2.5,7050,1.6489869356155396,0.0,0.0
AIRT,2000-02-17,2.5833330154418945,2.6666669845581055,2.4166669845581055,2.4166669845581055,36300,1.594020962715149,0.0,0.0
AIRT,2000-02-18,2.3333330154418945,2.4166669845581055,2.3333330154418945,2.3333330154418945,15450,1.5390545129776,0.0,0.0
AIRT,2000-02-22,2.2916669845581055,2.4166669845581055,2.2916669845581055,2.3333330154418945,13200,1.5390545129776,0.0,0.0
AIRT,2000-02-23,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,14250,1.5390545129776,0.0,0.0
AIRT,2000-02-24,2.2291669845581055,2.3333330154418945,2.2291669845581055,2.3333330154418945,7800,1.5390545129776,0.0,0.0
AIRT,2000-02-25,2.2291669845581055,2.3333330154418945,2.125,2.3333330154418945,2250,1.5390545129776,0.0,0.0
AIRT,2000-02-28,2.2291669845581055,2.2291669845581055,2.125,2.125,6600,1.4016388654708862,0.0,0.0
AIRT,2000-02-29,2.1666669845581055,2.1666669845581055,2.1666669845581055,2.1666669845581055,1500,1.4291223287582397,0.0,0.0
AIRT,2000-03-01,2.1666669845581055,2.1666669845581055,2.125,2.125,5550,1.4016388654708862,0.0,0.0
AIRT,2000-03-02,2.1666669845581055,2.1666669845581055,2.1666669845581055,2.1666669845581055,300,1.4291223287582397,0.0,0.0
AIRT,2000-03-03,2.1666669845581055,2.1666669845581055,2.1666669845581055,2.1666669845581055,0,1.4291223287582397,0.0,0.0
AIRT,2000-03-06,2.1666669845581055,2.25,2.1666669845581055,2.25,11250,1.4840885400772095,0.0,0.0
AIRT,2000-03-07,2.3958330154418945,2.4166669845581055,2.375,2.4166669845581055,10950,1.594020962715149,0.0,0.0
AIRT,2000-03-08,2.375,2.375,2.375,2.375,4500,1.566537857055664,0.0,0.0
AIRT,2000-03-09,2.375,2.375,2.375,2.375,3000,1.566537857055664,0.0,0.0
AIRT,2000-03-10,2.375,2.4166669845581055,2.2083330154418945,2.2083330154418945,7950,1.456605076789856,0.0,0.0
AIRT,2000-03-13,2.4166669845581055,2.4166669845581055,2.2083330154418945,2.2083330154418945,5100,1.456605076789856,0.0,0.0
AIRT,2000-03-14,2.2083330154418945,2.4166669845581055,2.2083330154418945,2.4166669845581055,900,1.594020962715149,0.0,0.0
AIRT,2000-03-15,2.3333330154418945,2.4166669845581055,2.3333330154418945,2.4166669845581055,3900,1.594020962715149,0.0,0.0
AIRT,2000-03-16,2.375,2.375,2.3333330154418945,2.3333330154418945,4350,1.5390545129776,0.0,0.0
AIRT,2000-03-17,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,0,1.5390545129776,0.0,0.0
AIRT,2000-03-20,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,1050,1.5390545129776,0.0,0.0
AIRT,2000-03-21,2.3958330154418945,2.4166669845581055,2.3958330154418945,2.4166669845581055,6900,1.594020962715149,0.0,0.0
AIRT,2000-03-22,2.4166669845581055,2.5,2.4166669845581055,2.5,12150,1.6489869356155396,0.0,0.0
AIRT,2000-03-23,2.5,2.5,2.25,2.25,17100,1.4840885400772095,0.0,0.0
AIRT,2000-03-24,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,1800,1.5390545129776,0.0,0.0
AIRT,2000-03-27,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,0,1.5390545129776,0.0,0.0
AIRT,2000-03-28,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,0,1.5390545129776,0.0,0.0
AIRT,2000-03-29,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,0,1.5390545129776,0.0,0.0
AIRT,2000-03-30,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,12600,1.5390545129776,0.0,0.0
AIRT,2000-03-31,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,15750,1.5390545129776,0.0,0.0
AIRT,2000-04-03,2.3333330154418945,2.5,2.3333330154418945,2.5,6000,1.6489869356155396,0.0,0.0
AIRT,2000-04-04,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,3000,1.5390545129776,0.0,0.0
AIRT,2000-04-05,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,0,1.5390545129776,0.0,0.0
AIRT,2000-04-06,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,1500,1.5390545129776,0.0,0.0
AIRT,2000-04-07,2.375,2.375,2.375,2.375,750,1.566537857055664,0.0,0.0
AIRT,2000-04-10,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,7200,1.5390545129776,0.0,0.0
AIRT,2000-04-11,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,0,1.5390545129776,0.0,0.0
AIRT,2000-04-12,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,1350,1.5390545129776,0.0,0.0
AIRT,2000-04-13,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,11700,1.5390545129776,0.0,0.0
AIRT,2000-04-14,2.3333330154418945,2.3333330154418945,2.0833330154418945,2.125,11100,1.4016388654708862,0.0,0.0
AIRT,2000-04-17,2.0833330154418945,2.125,2.0416669845581055,2.125,16050,1.4016388654708862,0.0,0.0
AIRT,2000-04-18,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,1050,1.5390545129776,0.0,0.0
AIRT,2000-04-19,2.125,2.125,2.125,2.125,3300,1.4016388654708862,0.0,0.0
AIRT,2000-04-20,2.125,2.3333330154418945,2.125,2.3333330154418945,2250,1.5390545129776,0.0,0.0
AIRT,2000-04-24,2.3333330154418945,2.3333330154418945,2.3333330154418945,2.3333330154418945,0,1.5390545129776,0.0,0.0
