symbol,date,open,high,low,close,volume,adjclose,dividends
BELFA,2000-01-03,25.5,27.25,25.0625,25.625,29300,20.103717803955078,0.0
BELFA,2000-01-04,25.15625,25.25,24.0,24.4375,26800,19.172088623046875,0.0
BELFA,2000-01-05,24.5,25.125,24.0625,25.125,10300,19.711448669433594,0.0
BELFA,2000-01-06,25.75,25.75,24.125,24.25,13200,19.024986267089844,0.0
BELFA,2000-01-07,24.0,24.5,23.8125,24.5,11400,19.22110939025879,0.0
BELFA,2000-01-10,23.75,24.625,23.75,23.875,24500,18.730775833129883,0.0
BELFA,2000-01-11,24.0,24.0,21.6875,22.8125,22900,17.897207260131836,0.0
BELFA,2000-01-12,22.46875,24.75,22.4375,24.375,28700,19.123048782348633,0.0
BELFA,2000-01-13,25.5,27.25,25.5,26.0,21000,20.397916793823242,0.0
BELFA,2000-01-14,25.625,27.375,24.625,27.375,19200,21.47665023803711,0.0
BELFA,2000-01-18,26.125,26.125,25.0,25.875,20800,20.299846649169922,0.0
BELFA,2000-01-19,26.125,26.125,24.5,24.5,6000,19.22110939025879,0.0
BELFA,2000-01-20,24.6875,24.6875,22.125,23.5,29300,18.43657684326172,0.0
BELFA,2000-01-21,23.125,24.0,22.625,23.0,17200,18.0443172454834,0.0
BELFA,2000-01-24,22.6875,23.25,21.625,23.25,24400,18.24045753479004,0.0
BELFA,2000-01-25,22.375,23.125,22.375,23.125,11900,18.142383575439453,0.0
BELFA,2000-01-26,23.0,24.0,22.75,23.25,7400,18.24045753479004,0.0
BELFA,2000-01-27,23.0,25.0,23.0,24.25,8100,19.024986267089844,0.0
BELFA,2000-01-28,23.9375,24.125,23.5,24.125,6700,18.92692756652832,0.0
BELFA,2000-01-31,24.5,25.5,24.4375,25.375,20100,19.907594680786133,0.0
BELFA,2000-02-01,25.75,25.75,24.125,24.75,34200,19.417253494262695,0.0
BELFA,2000-02-02,24.25,24.25,22.625,23.5,20300,18.43657684326172,0.0
BELFA,2000-02-03,23.3125,23.75,22.125,22.75,46300,17.848180770874023,0.0
BELFA,2000-02-04,23.375,23.375,21.5,21.75,30900,17.063640594482422,0.0
BELFA,2000-02-07,21.875,22.5,20.0,20.375,37200,15.984899520874023,0.0
BELFA,2000-02-08,20.1875,21.1875,20.0,20.75,60900,16.279109954833984,0.0
BELFA,2000-02-09,20.875,21.125,20.4375,21.0,22200,16.475242614746094,0.0
BELFA,2000-02-10,21.0,21.0,20.0,20.0625,22400,15.739742279052734,0.0
BELFA,2000-02-11,20.25,20.34375,19.5,19.75,28000,15.494576454162598,0.0
BELFA,2000-02-14,21.0,21.0,18.5,18.8125,32300,14.759073257446289,0.0
BELFA,2000-02-15,19.3125,19.3125,18.625,19.0625,36200,14.955199241638184,0.0
BELFA,2000-02-16,18.75,19.3125,18.75,19.125,13700,15.004239082336426,0.0
BELFA,2000-02-17,19.5625,20.4375,19.5,19.75,10900,15.494576454162598,0.0
BELFA,2000-02-18,20.0,20.125,19.25,19.25,6500,15.102306365966797,0.0
BELFA,2000-02-22,19.625,20.875,19.25,20.625,11500,16.181041717529297,0.0
BELFA,2000-02-23,20.9375,22.25,19.5,22.0,22100,17.25977325439453,0.0
BELFA,2000-02-24,22.25,22.875,22.25,22.25,10300,17.455917358398438,0.0
BELFA,2000-02-25,22.0,22.875,21.25,21.25,7900,16.671371459960938,0.0
BELFA,2000-02-28,21.0,21.125,20.25,20.5,7200,16.082969665527344,0.0
BELFA,2000-02-29,20.375,20.875,19.25,19.25,15800,15.102306365966797,0.0
BELFA,2000-03-01,19.25,20.9375,19.25,19.75,11800,15.494576454162598,0.0
BELFA,2000-03-02,19.8125,19.875,19.0,19.75,21900,15.494576454162598,0.0
