symbol,date,open,high,low,close,volume,adjclose,dividends,splits
BTO,2000-01-03,33.0,33.0,31.0,32.0,223975,3.9656314849853516,0.0,0.0
BTO,2000-01-04,30.75,32.25,30.75,31.5,309850,3.9036669731140137,0.0,0.0
BTO,2000-01-05,31.25,31.75,31.0,31.25,133675,3.872684955596924,0.0,0.0
BTO,2000-01-06,31.25,32.0,31.0,31.75,86375,3.934650421142578,0.0,0.0
BTO,2000-01-07,32.0,32.5,31.5,32.25,84650,3.9966142177581787,0.0,0.0
BTO,2000-01-10,32.0,32.0,31.25,31.75,143400,3.934650421142578,0.0,0.0
BTO,2000-01-11,31.25,31.25,30.0,30.25,78550,3.748760938644409,0.0,0.0
BTO,2000-01-12,30.25,31.0,30.0,30.75,50725,3.8107244968414307,0.0,0.0
BTO,2000-01-13,30.75,32.0,30.5,32.0,75800,3.9656314849853516,0.0,0.0
BTO,2000-01-14,32.0,33.0,31.75,31.75,92350,3.934650421142578,0.0,0.0
BTO,2000-01-18,31.75,32.0,31.0,31.0,63600,3.8417067527770996,0.0,0.0
BTO,2000-01-19,31.25,31.5,30.25,30.75,70450,3.8107244968414307,0.0,0.0
BTO,2000-01-20,30.75,30.75,29.5,29.75,113275,3.6867973804473877,0.0,0.0
BTO,2000-01-21,29.5,29.75,28.5,29.0,83500,3.593853712081909,0.0,0.0
BTO,2000-01-24,28.5,28.75,27.5,28.0,151400,3.4699273109436035,0.0,0.0
BTO,2000-01-25,27.75,28.0,27.25,27.5,178300,3.4079651832580566,0.0,0.0
BTO,2000-01-26,27.5,28.0,27.25,27.5,374950,3.4079651832580566,0.0,0.0
BTO,2000-01-27,28.0,28.25,27.75,28.0,266150,3.4699273109436035,0.0,0.0
BTO,2000-01-28,27.75,28.0,27.25,27.5,114450,3.4079651832580566,0.0,0.0
BTO,2000-01-31,27.75,28.5,27.5,28.25,133200,3.5009100437164307,0.0,0.0
BTO,2000-02-01,28.25,28.5,28.0,28.25,76475,3.5009100437164307,0.0,0.0
BTO,2000-02-02,28.25,28.5,28.0,28.0,109600,3.4699273109436035,0.0,0.0
BTO,2000-02-03,28.25,28.75,28.25,28.5,108150,3.531891345977783,0.0,0.0
BTO,2000-02-04,28.25,28.5,27.75,27.75,106750,3.4389445781707764,0.0,0.0
BTO,2000-02-07,27.75,28.0,27.5,27.75,68950,3.4389445781707764,0.0,0.0
BTO,2000-02-08,27.5,28.0,27.5,27.75,96175,3.4389445781707764,0.0,0.0
BTO,2000-02-09,27.75,28.0,27.0,27.5,113650,3.4079651832580566,0.0,0.0
BTO,2000-02-10,27.5,27.75,27.0,27.0,88175,3.346001625061035,0.0,0.0
BTO,2000-02-11,27.0,27.5,27.0,27.0,128025,3.346001625061035,0.0,0.0
BTO,2000-02-14,27.0,27.5,26.75,26.75,67800,3.3150200843811035,0.0,0.0
BTO,2000-02-15,27.0,27.25,26.75,27.25,64950,3.3769824504852295,0.0,0.0
BTO,2000-02-16,27.0,27.25,26.5,27.0,92075,3.346001625061035,0.0,0.0
BTO,2000-02-17,26.5,27.0,26.5,26.75,70950,3.3150200843811035,0.0,0.0
BTO,2000-02-18,26.5,26.75,25.0,26.0,96850,3.2220747470855713,0.0,0.0
BTO,2000-02-22,25.75,26.0,25.25,26.0,71750,3.2220747470855713,0.0,0.0
BTO,2000-02-23,26.0,27.25,26.0,26.5,110850,3.284038543701172,0.0,0.0
BTO,2000-02-24,26.75,26.75,25.5,25.5,65150,3.160113573074341,0.0,0.0
BTO,2000-02-25,26.0,26.25,25.0,25.25,86200,3.12913179397583,0.0,0.0
BTO,2000-02-28,25.5,26.25,25.0,26.25,89425,3.2530553340911865,0.0,0.0
BTO,2000-02-29,26.0,26.25,25.75,26.0,56175,3.2220747470855713,0.0,0.0
BTO,2000-03-01,26.0,26.0,25.25,25.5,67850,3.160113573074341,0.0,0.0
BTO,2000-03-02,25.5,25.75,25.0,25.5,88175,3.160113573074341,0.0,0.0
BTO,2000-03-03,25.5,26.25,25.5,25.5,93575,3.160113573074341,0.0,0.0
BTO,2000-03-06,25.5,26.0,25.5,25.75,76650,3.1910924911499023,0.0,0.0
BTO,2000-03-07,25.75,26.25,25.5,25.5,117100,3.160113573074341,0.0,0.0
BTO,2000-03-08,25.75,26.0,25.5,25.75,100675,3.1910924911499023,0.0,0.0
BTO,2000-03-09,25.75,25.75,25.0,25.0,68175,3.0981485843658447,0.0,0.0
BTO,2000-03-10,25.0,25.5,25.0,25.0,80925,3.0981485843658447,0.0,0.0
BTO,2000-03-13,24.75,25.0,24.25,24.25,93325,3.0052053928375244,0.0,0.0
BTO,2000-03-14,24.25,24.5,24.0,24.25,67475,3.0052053928375244,0.0,0.0
BTO,2000-03-15,24.25,27.5,24.0,26.75,191125,3.3150200843811035,0.0,0.0
BTO,2000-03-16,27.5,29.25,27.25,28.25,219275,3.5009100437164307,0.0,0.0
BTO,2000-03-17,28.0,28.5,27.5,27.75,130450,3.4389445781707764,0.0,0.0
BTO,2000-03-20,28.0,28.0,26.5,26.5,184325,3.284038543701172,0.0,0.0
BTO,2000-03-21,26.25,28.0,26.25,27.5,166000,3.4079651832580566,0.0,0.0
BTO,2000-03-22,27.75,28.0,27.0,27.25,122350,3.3769824504852295,0.0,0.0
BTO,2000-03-23,27.25,28.0,26.75,28.0,193550,3.4699273109436035,0.0,0.0
BTO,2000-03-24,27.75,28.0,27.0,27.0,113650,3.346001625061035,0.0,0.0
BTO,2000-03-27,27.0,27.25,26.5,26.5,68800,3.284038543701172,0.0,0.0
BTO,2000-03-28,26.5,27.25,26.5,26.75,83450,3.3150200843811035,0.0,0.0
BTO,2000-03-29,27.0,27.25,26.75,26.75,57975,3.3150200843811035,0.0,0.0
BTO,2000-03-30,27.0,27.25,26.25,26.5,78100,3.284038543701172,0.0,0.0
