symbol,date,open,high,low,close,volume,adjclose,dividends,splits
COHN,2004-03-17,1275.0,1283.0,1245.0,1275.0,31274,290.68878173828125,0.0,0.0
COHN,2004-03-18,1275.0,1295.0,1265.0,1290.0,5512,294.10858154296875,0.0,0.0
COHN,2004-03-19,1291.0,1295.0,1283.0,1283.0,889,292.5126953125,0.0,0.0
COHN,2004-03-22,1283.0,1283.0,1269.0,1274.0,1314,290.46075439453125,0.0,0.0
COHN,2004-03-23,1271.0,1275.0,1270.0,1275.0,824,290.68878173828125,0.0,0.0
COHN,2004-03-24,1280.0,1285.0,1277.0,1283.0,350,292.5126953125,0.0,0.0
COHN,2004-03-25,1283.0,1284.0,1280.0,1280.0,292,291.8287353515625,0.0,0.0
COHN,2004-03-26,1280.0,1280.0,1276.0,1279.0,732,291.6007385253906,0.0,0.0
COHN,2004-03-29,1278.0,1278.0,1275.0,1276.0,56,290.9167175292969,0.0,0.0
COHN,2004-03-30,1277.0,1278.0,1274.0,1278.0,463,291.3726501464844,0.0,0.0
COHN,2004-03-31,1275.0,1275.0,1265.0,1265.0,459,288.4087829589844,0.0,0.0
COHN,2004-04-01,1265.0,1268.0,1264.0,1267.0,250,288.8648376464844,0.0,0.0
COHN,2004-04-02,1265.0,1266.0,1240.0,1251.0,452,285.2169189453125,0.0,0.0
COHN,2004-04-05,1250.0,1251.0,1210.0,1219.0,1997,277.9211730957031,0.0,0.0
COHN,2004-04-06,1219.0,1238.0,1205.0,1206.0,903,274.9573059082031,0.0,0.0
COHN,2004-04-07,1206.0,1206.0,1160.0,1169.0,1076,266.52154541015625,0.0,0.0
COHN,2004-04-08,1165.0,1166.0,1145.0,1163.0,1841,265.15374755859375,0.0,0.0
COHN,2004-04-12,1163.0,1163.0,1142.0,1149.0,1633,261.9617919921875,0.0,0.0
COHN,2004-04-13,1150.0,1170.0,1145.0,1170.0,501,266.7496337890625,0.0,0.0
COHN,2004-04-14,1175.0,1175.0,1165.0,1166.0,531,265.83770751953125,0.0,0.0
COHN,2004-04-15,1166.0,1185.0,1165.0,1185.0,499,270.16943359375,0.0,0.0
COHN,2004-04-16,1186.0,1190.0,1180.0,1189.0,113,271.08148193359375,0.0,0.0
COHN,2004-04-19,1188.0,1188.0,1178.0,1178.0,149,268.5735778808594,0.0,0.0
COHN,2004-04-20,1179.0,1182.0,1177.0,1177.0,122,268.3455505371094,0.0,0.0
COHN,2004-04-21,1179.0,1179.0,1165.0,1165.0,48,265.6097106933594,0.0,0.0
COHN,2004-04-22,1160.0,1169.0,1150.0,1169.0,239,266.52154541015625,0.0,0.0
COHN,2004-04-23,1168.0,1168.0,1124.0,1148.0,269,261.7339172363281,0.0,0.0
COHN,2004-04-26,1146.0,1146.0,1140.0,1141.0,98,260.1378173828125,0.0,0.0
COHN,2004-04-27,1140.0,1149.0,1125.0,1140.0,409,259.9098815917969,0.0,0.0
COHN,2004-04-28,1139.0,1143.0,1120.0,1134.0,266,258.5419921875,0.0,0.0
COHN,2004-04-29,1130.0,1135.0,1090.0,1115.0,474,254.210205078125,0.0,0.0
COHN,2004-04-30,1115.0,1125.0,1100.0,1109.0,442,252.84219360351562,0.0,0.0
COHN,2004-05-03,1105.0,1108.0,1090.0,1105.0,724,251.93011474609375,0.0,0.0
COHN,2004-05-04,1115.0,1118.0,1091.0,1100.0,220,250.79034423828125,0.0,0.0
COHN,2004-05-05,1104.0,1107.0,1091.0,1105.0,845,251.93011474609375,0.0,0.0
COHN,2004-05-06,1106.0,1108.0,1095.0,1103.0,288,251.47422790527344,0.0,0.0
COHN,2004-05-07,1100.0,1100.0,1075.0,1080.0,160,246.23045349121094,0.0,0.0
COHN,2004-05-10,1080.0,1080.0,1045.0,1054.0,1021,240.3026580810547,0.0,0.0
COHN,2004-05-11,1050.0,1050.0,1015.0,1025.0,299,233.69094848632812,0.0,0.0
COHN,2004-05-12,1024.0,1025.0,1010.0,1023.0,1007,233.23492431640625,0.0,0.0
COHN,2004-05-13,1020.0,1024.0,1010.0,1010.0,408,230.27110290527344,0.0,0.0
COHN,2004-05-14,1010.0,1014.0,990.0,999.0,667,227.76318359375,0.0,0.0
COHN,2004-05-17,1000.0,1015.0,990.0,999.0,185,227.76318359375,0.0,0.0
