symbol,date,open,high,low,close,volume,adjclose,dividends
CSV,2000-01-03,5.8125,5.8125,5.5,5.625,49600,4.7778496742248535,0.0
CSV,2000-01-04,5.625,5.625,5.125,5.25,123000,4.459326267242432,0.0
CSV,2000-01-05,5.4375,5.4375,5.1875,5.1875,29800,4.406239032745361,0.0
CSV,2000-01-06,5.1875,5.375,5.0625,5.375,162600,4.565502166748047,0.0
CSV,2000-01-07,5.5,5.5,5.1875,5.3125,27400,4.51241397857666,0.0
CSV,2000-01-10,5.0625,5.3125,5.0625,5.1875,20000,4.406239032745361,0.0
CSV,2000-01-11,5.125,5.1875,4.875,5.0625,44200,4.300065994262695,0.0
CSV,2000-01-12,5.0625,5.125,5.0,5.0625,9200,4.300065994262695,0.0
CSV,2000-01-13,5.125,5.4375,5.0,5.375,24700,4.565502166748047,0.0
CSV,2000-01-14,5.4375,5.4375,5.25,5.25,16700,4.459326267242432,0.0
CSV,2000-01-18,5.375,5.375,5.125,5.3125,34500,4.51241397857666,0.0
CSV,2000-01-19,5.375,5.375,5.125,5.1875,25400,4.406239032745361,0.0
CSV,2000-01-20,5.25,5.3125,5.0625,5.3125,25200,4.51241397857666,0.0
CSV,2000-01-21,5.3125,5.375,5.125,5.3125,20700,4.51241397857666,0.0
CSV,2000-01-24,5.3125,5.75,5.3125,5.6875,35900,4.830936908721924,0.0
CSV,2000-01-25,5.75,5.75,5.5,5.5,14100,4.671675205230713,0.0
CSV,2000-01-26,5.4375,5.75,5.375,5.625,12100,4.7778496742248535,0.0
CSV,2000-01-27,5.5,5.6875,5.4375,5.4375,16700,4.618587017059326,0.0
CSV,2000-01-28,5.5,5.625,5.25,5.25,15100,4.459326267242432,0.0
CSV,2000-01-31,5.25,6.1875,5.125,5.9375,62600,5.043285846710205,0.0
CSV,2000-02-01,5.375,5.75,5.375,5.4375,45500,4.618587017059326,0.0
CSV,2000-02-02,5.4375,5.6875,5.4375,5.625,18300,4.7778496742248535,0.0
CSV,2000-02-03,5.75,5.875,5.625,5.75,18700,4.884024143218994,0.0
CSV,2000-02-04,5.5625,5.8125,5.5625,5.5625,16000,4.724761962890625,0.0
CSV,2000-02-07,5.5625,5.625,5.5,5.5625,22000,4.724761962890625,0.0
CSV,2000-02-08,5.4375,5.4375,5.1875,5.25,72800,4.459326267242432,0.0
CSV,2000-02-09,5.1875,5.25,5.125,5.125,15200,4.353152275085449,0.0
CSV,2000-02-10,5.25,5.25,5.125,5.1875,3700,4.406239032745361,0.0
CSV,2000-02-11,5.0,5.25,4.875,5.1875,31600,4.406239032745361,0.0
CSV,2000-02-14,5.1875,5.1875,5.125,5.1875,32500,4.406239032745361,0.0
CSV,2000-02-15,5.1875,5.4375,5.125,5.4375,13500,4.618587017059326,0.0
CSV,2000-02-16,5.3125,5.375,5.125,5.25,32600,4.459326267242432,0.0
CSV,2000-02-17,5.1875,5.3125,5.0625,5.3125,31900,4.51241397857666,0.0
CSV,2000-02-18,5.375,5.375,5.0,5.0,44700,4.246978282928467,0.0
CSV,2000-02-22,5.0,5.125,4.75,4.75,15300,4.034627914428711,0.0
CSV,2000-02-23,4.9375,5.0,4.75,4.75,24100,4.034627914428711,0.0
CSV,2000-02-24,4.5625,4.5625,4.375,4.5,36800,3.822279930114746,0.0
CSV,2000-02-25,4.5,4.625,4.4375,4.5,25900,3.822279930114746,0.0
CSV,2000-02-28,4.625,4.75,4.625,4.75,19700,4.034627914428711,0.0
CSV,2000-02-29,4.625,4.625,4.3125,4.3125,24700,3.6630187034606934,0.0
CSV,2000-03-01,4.25,4.4375,4.1875,4.25,35000,3.6099305152893066,0.0
CSV,2000-03-02,4.375,4.375,4.0,4.1875,50100,3.5568430423736572,0.0
CSV,2000-03-03,4.1875,4.25,4.0625,4.1875,26700,3.5568430423736572,0.0
CSV,2000-03-06,4.0625,4.3125,4.0625,4.3125,12100,3.6630187034606934,0.0
CSV,2000-03-07,4.1875,4.1875,3.875,3.875,46800,3.291407823562622,0.0
CSV,2000-03-08,3.9375,4.0,3.875,4.0,18200,3.3975818157196045,0.0
CSV,2000-03-09,4.0,4.1875,4.0,4.0625,16500,3.450669288635254,0.0
CSV,2000-03-10,4.0,4.1875,4.0,4.125,22000,3.503756284713745,0.0
