symbol,date,open,high,low,close,volume,adjclose,dividends
DXR,2000-01-03,14.3125,14.375,14.25,14.375,1700,10.018136024475098,0.0
DXR,2000-01-04,14.4375,14.4375,14.25,14.375,1300,10.018136024475098,0.0
DXR,2000-01-05,14.5,14.5,14.0,14.4375,12200,10.061691284179688,0.0
DXR,2000-01-06,14.4375,14.4375,14.4375,14.4375,0,10.061691284179688,0.0
DXR,2000-01-07,14.5,14.5,14.375,14.375,9300,10.018136024475098,0.0
DXR,2000-01-10,14.375,14.375,14.375,14.375,500,10.018136024475098,0.0
DXR,2000-01-11,14.4375,14.4375,14.25,14.375,1000,10.018136024475098,0.0
DXR,2000-01-12,14.4375,14.5,14.375,14.375,7400,10.018136024475098,0.0
DXR,2000-01-13,14.1875,14.25,14.1875,14.25,500,9.931022644042969,0.0
DXR,2000-01-14,14.25,14.4375,14.0,14.25,18900,9.931022644042969,0.0
DXR,2000-01-18,14.25,14.25,14.1875,14.25,2700,9.931022644042969,0.0
DXR,2000-01-19,14.1875,14.375,14.1875,14.375,12200,10.018136024475098,0.0
DXR,2000-01-20,14.375,14.5,14.25,14.3125,12900,9.974577903747559,0.0
DXR,2000-01-21,14.125,14.25,13.875,14.125,117300,9.843907356262207,0.0
DXR,2000-01-24,14.25,14.25,14.0,14.25,4400,9.931022644042969,0.0
DXR,2000-01-25,14.25,14.25,14.0,14.25,10100,9.931022644042969,0.0
DXR,2000-01-26,14.25,14.25,14.25,14.25,1400,9.931022644042969,0.0
DXR,2000-01-27,14.25,14.25,14.0625,14.25,2800,9.931022644042969,0.0
DXR,2000-01-28,14.0,14.25,14.0,14.25,2200,9.931022644042969,0.0
DXR,2000-01-31,14.25,14.25,14.25,14.25,100,9.931022644042969,0.0
DXR,2000-02-01,14.125,14.25,14.125,14.25,1400,9.931022644042969,0.0
DXR,2000-02-02,14.0,14.25,14.0,14.25,1600,9.931022644042969,0.0
DXR,2000-02-03,14.25,14.375,14.25,14.25,9900,9.931022644042969,0.0
DXR,2000-02-04,14.3125,14.75,14.1875,14.4375,23700,10.061691284179688,0.0
DXR,2000-02-07,14.5,14.5,14.0,14.1875,4100,9.88746452331543,0.0
DXR,2000-02-08,14.0,14.5,13.875,14.5,7300,10.10524845123291,0.0
DXR,2000-02-09,14.5,14.75,14.0625,14.25,9700,9.931022644042969,0.0
DXR,2000-02-10,14.0,14.25,14.0,14.25,500,9.931022644042969,0.0
DXR,2000-02-11,14.125,14.375,14.125,14.1875,21800,9.88746452331543,0.0
DXR,2000-02-14,14.0,14.375,14.0,14.375,14700,10.018136024475098,0.0
DXR,2000-02-15,14.5,14.5,14.25,14.5,5800,10.10524845123291,0.0
DXR,2000-02-16,14.5,15.875,14.5,15.875,19000,11.063508033752441,0.0
DXR,2000-02-17,16.125,16.375,15.875,16.375,12300,11.411962509155273,0.0
DXR,2000-02-18,16.375,18.875,16.375,18.375,44200,12.805792808532715,0.0
DXR,2000-02-22,18.5625,19.625,18.5625,19.375,20600,13.502705574035645,0.0
DXR,2000-02-23,19.375,19.375,18.625,18.75,19200,13.067134857177734,0.0
DXR,2000-02-24,18.5,18.5,17.1875,17.5,16200,12.195989608764648,0.0
DXR,2000-02-25,17.5,17.5,16.875,17.0,15800,11.847536087036133,0.0
DXR,2000-02-28,17.25,17.5,16.8125,17.0,5100,11.847536087036133,0.0
DXR,2000-02-29,17.125,18.75,17.125,18.75,9700,13.067134857177734,0.0
DXR,2000-03-01,19.0,20.125,19.0,19.5,18300,13.589818000793457,0.0
DXR,2000-03-02,19.75,21.0,19.75,20.875,9300,14.548076629638672,0.0
DXR,2000-03-03,21.0,22.125,20.875,21.8125,16100,15.201433181762695,0.0
DXR,2000-03-06,22.5,22.75,22.0,22.375,23500,15.593442916870117,0.0
DXR,2000-03-07,22.625,22.625,21.8125,22.0,6300,15.332103729248047,0.0
DXR,2000-03-08,22.0,22.0,21.5,22.0,5900,15.332103729248047,0.0
DXR,2000-03-09,22.5,23.875,22.5,23.625,23800,16.464590072631836,0.0
DXR,2000-03-10,23.875,25.75,22.75,25.625,51000,17.858417510986328,0.0
DXR,2000-03-13,25.8125,29.5,25.8125,29.375,42900,20.471843719482422,0.0
DXR,2000-03-14,29.5,30.625,25.25,27.375,52500,19.078018188476562,0.0
DXR,2000-03-15,27.625,28.625,26.375,26.875,18500,18.72956085205078,0.0
DXR,2000-03-16,26.875,27.375,24.625,25.5,19700,17.77130126953125,0.0
DXR,2000-03-17,25.75,26.0,25.125,25.25,4000,17.59707260131836,0.0
DXR,2000-03-20,25.25,25.25,22.125,22.125,11200,15.419218063354492,0.0
