symbol,date,open,high,low,close,volume,adjclose,splits
FFAI,2020-09-02,96000.0,96000.0,92640.0,92640.0,0,92640.0,0.0
FFAI,2020-09-03,93312.0,93312.0,93024.0,93024.0,3,93024.0,0.0
FFAI,2020-09-04,93120.0,93696.0,93024.0,93504.0,0,93504.0,0.0
FFAI,2020-09-08,93504.0,93504.0,93504.0,93504.0,0,93504.0,0.0
FFAI,2020-09-09,93408.0,93504.0,93216.0,93504.0,1,93504.0,0.0
FFAI,2020-09-10,93600.0,93600.0,93216.0,93600.0,152,93600.0,0.0
FFAI,2020-09-11,93312.0,94176.0,93312.0,93408.0,1,93408.0,0.0
FFAI,2020-09-14,93408.0,93600.0,93120.0,93600.0,35,93600.0,0.0
FFAI,2020-09-15,96000.0,102624.0,93216.0,93216.0,9,93216.0,0.0
FFAI,2020-09-16,93312.0,93312.0,93216.0,93312.0,8,93312.0,0.0
FFAI,2020-09-17,93504.0,93600.0,93312.0,93504.0,114,93504.0,0.0
FFAI,2020-09-18,94512.0,94512.0,93408.0,93792.0,24,93792.0,0.0
FFAI,2020-09-21,93494.3984375,93792.0,93494.3984375,93792.0,57,93792.0,0.0
FFAI,2020-09-22,93696.0,93696.0,93600.0,93600.0,10,93600.0,0.0
FFAI,2020-09-23,93600.0,93792.0,93600.0,93696.0,54,93696.0,0.0
FFAI,2020-09-24,93600.0,93696.0,93600.0,93600.0,33,93600.0,0.0
FFAI,2020-09-25,93600.0,93696.0,93600.0,93600.0,17,93600.0,0.0
FFAI,2020-09-28,93600.0,93696.0,93600.0,93696.0,0,93696.0,0.0
FFAI,2020-09-29,93696.0,94080.0,93696.0,93792.0,86,93792.0,0.0
FFAI,2020-09-30,93792.0,95040.0,93600.0,94176.0,63,94176.0,0.0
FFAI,2020-10-01,94080.0,94176.0,93696.0,93792.0,22,93792.0,0.0
FFAI,2020-10-02,93600.0,93696.0,93600.0,93600.0,37,93600.0,0.0
FFAI,2020-10-05,94080.0,94080.0,94080.0,94080.0,0,94080.0,0.0
FFAI,2020-10-06,93792.0,93792.0,93696.0,93696.0,2,93696.0,0.0
FFAI,2020-10-07,93792.0,93792.0,93792.0,93792.0,0,93792.0,0.0
FFAI,2020-10-08,93696.0,93792.0,93696.0,93792.0,2,93792.0,0.0
FFAI,2020-10-09,93696.0,93696.0,93504.0,93504.0,2,93504.0,0.0
FFAI,2020-10-12,93600.0,93744.0,93600.0,93696.0,0,93696.0,0.0
FFAI,2020-10-13,93216.0,93408.0,93120.0,93408.0,16,93408.0,0.0
FFAI,2020-10-14,93408.0,93408.0,93408.0,93408.0,32,93408.0,0.0
FFAI,2020-10-15,93408.0,93408.0,93312.0,93312.0,11,93312.0,0.0
FFAI,2020-10-16,93408.0,93984.0,93408.0,93408.0,2,93408.0,0.0
FFAI,2020-10-19,93408.0,93888.0,93408.0,93408.0,8,93408.0,0.0
FFAI,2020-10-20,93408.0,93408.0,93408.0,93408.0,1,93408.0,0.0
FFAI,2020-10-21,93408.0,93408.0,93408.0,93408.0,0,93408.0,0.0
FFAI,2020-10-22,93216.0,93312.0,92928.0,93312.0,22,93312.0,0.0
FFAI,2020-10-23,93312.0,93312.0,92928.0,93120.0,0,93120.0,0.0
FFAI,2020-10-26,92928.0,93600.0,92928.0,93600.0,12,93600.0,0.0
FFAI,2020-10-27,92928.0,93120.0,92928.0,92976.0,1,92976.0,0.0
FFAI,2020-10-28,92928.0,93216.0,92832.0,93216.0,17,93216.0,0.0
FFAI,2020-10-29,92928.0,93120.0,92726.3984375,92832.0,13,92832.0,0.0
FFAI,2020-10-30,92928.0,92928.0,92736.0,92736.0,10,92736.0,0.0
FFAI,2020-11-02,93120.0,93120.0,92640.0,92640.0,2,92640.0,0.0
FFAI,2020-11-03,92736.0,93120.0,92640.0,92736.0,2,92736.0,0.0
FFAI,2020-11-04,92832.0,93120.0,92832.0,93120.0,1,93120.0,0.0
FFAI,2020-11-05,93120.0,93216.0,93120.0,93216.0,0,93216.0,0.0
FFAI,2020-11-06,93004.796875,93004.796875,93004.796875,93004.796875,0,93004.796875,0.0
FFAI,2020-11-09,93216.0,93312.0,93216.0,93216.0,1,93216.0,0.0
FFAI,2020-11-10,93120.0,93120.0,93120.0,93120.0,1,93120.0,0.0
FFAI,2020-11-11,93120.0,93312.0,93120.0,93120.0,1,93120.0,0.0
FFAI,2020-11-12,93120.0,93312.0,93120.0,93312.0,1,93312.0,0.0
FFAI,2020-11-13,93312.0,93312.0,93312.0,93312.0,1,93312.0,0.0
FFAI,2020-11-16,93408.0,93504.0,93408.0,93408.0,11,93408.0,0.0
FFAI,2020-11-17,93408.0,93696.0,93360.0,93600.0,59,93600.0,0.0
FFAI,2020-11-18,93792.0,93888.0,93408.0,93888.0,13,93888.0,0.0
FFAI,2020-11-19,93408.0,93792.0,93408.0,93792.0,0,93792.0,0.0
FFAI,2020-11-20,93312.0,93792.0,93312.0,93408.0,1,93408.0,0.0
FFAI,2020-11-23,93408.0,93696.0,93312.0,93408.0,6,93408.0,0.0
FFAI,2020-11-24,93312.0,93792.0,93312.0,93792.0,0,93792.0,0.0
FFAI,2020-11-25,93312.0,93792.0,93312.0,93792.0,0,93792.0,0.0
FFAI,2020-11-27,93888.0,94176.0,93888.0,94176.0,1,94176.0,0.0
FFAI,2020-11-30,94080.0,94080.0,93696.0,94080.0,0,94080.0,0.0
FFAI,2020-12-01,94080.0,94176.0,93792.0,94080.0,1,94080.0,0.0
FFAI,2020-12-02,94176.0,94368.0,94128.0,94176.0,11,94176.0,0.0
FFAI,2020-12-03,94176.0,94560.0,94176.0,94464.0,2,94464.0,0.0
FFAI,2020-12-04,94272.0,94368.0,94272.0,94368.0,0,94368.0,0.0
FFAI,2020-12-07,94992.0,95040.0,94080.0,94176.0,8,94176.0,0.0
FFAI,2020-12-08,94176.0,95520.0,94176.0,94560.0,2,94560.0,0.0
FFAI,2020-12-09,94560.0,95520.0,94560.0,95232.0,5,95232.0,0.0
FFAI,2020-12-10,95232.0,95520.0,94848.0,95136.0,2,95136.0,0.0
FFAI,2020-12-11,95520.0,95904.0,95040.0,95616.0,24,95616.0,0.0
FFAI,2020-12-14,95836.796875,95904.0,95040.0,95904.0,2,95904.0,0.0
FFAI,2020-12-15,95520.0,95904.0,94272.0,95808.0,27,95808.0,0.0
FFAI,2020-12-16,95808.0,96192.0,95040.0,96000.0,18,96000.0,0.0
FFAI,2020-12-17,96000.0,96000.0,95712.0,96000.0,11,96000.0,0.0
FFAI,2020-12-18,96000.0,96096.0,95808.0,96000.0,24,96000.0,0.0
FFAI,2020-12-21,95808.0,96192.0,95808.0,96000.0,7,96000.0,0.0
FFAI,2020-12-22,96000.0,96192.0,96000.0,96000.0,13,96000.0,0.0
FFAI,2020-12-23,96000.0,96192.0,95616.0,96096.0,13,96096.0,0.0
FFAI,2020-12-24,96096.0,96192.0,96000.0,96000.0,12,96000.0,0.0
FFAI,2020-12-28,96288.0,96480.0,95808.0,95808.0,3,95808.0,0.0
FFAI,2020-12-29,95808.0,95904.0,94272.0,95808.0,11,95808.0,0.0
FFAI,2020-12-30,94080.0,96000.0,94080.0,95712.0,2,95712.0,0.0
FFAI,2020-12-31,96000.0,96768.0,95040.0,96000.0,17,96000.0,0.0
FFAI,2021-01-04,96288.0,97056.0,96288.0,96768.0,6,96768.0,0.0
FFAI,2021-01-05,96768.0,96768.0,96000.0,96576.0,4,96576.0,0.0
FFAI,2021-01-06,96768.0,97344.0,96192.0,96192.0,4,96192.0,0.0
FFAI,2021-01-07,96288.0,97248.0,95232.0,96672.0,24,96672.0,0.0
FFAI,2021-01-08,96960.0,98400.0,96192.0,96960.0,7,96960.0,0.0
FFAI,2021-01-11,114720.0,118560.0,109536.0,115200.0,928,115200.0,0.0
FFAI,2021-01-12,112704.0,113280.0,110496.0,111360.0,322,111360.0,0.0
FFAI,2021-01-13,111696.0,113184.0,110496.0,111840.0,318,111840.0,0.0
FFAI,2021-01-14,114720.0,114720.0,112800.0,114240.0,223,114240.0,0.0
FFAI,2021-01-15,114240.0,114662.3984375,108048.0,113856.0,151,113856.0,0.0
FFAI,2021-01-19,113760.0,113760.0,108864.0,111744.0,120,111744.0,0.0
FFAI,2021-01-20,110880.0,111360.0,108576.0,109920.0,71,109920.0,0.0
FFAI,2021-01-21,109152.0,109440.0,105600.0,106848.0,102,106848.0,0.0
FFAI,2021-01-22,106464.0,107520.0,105696.0,107040.0,72,107040.0,0.0
FFAI,2021-01-25,109824.0,110592.0,108480.0,109632.0,208,109632.0,0.0
FFAI,2021-01-26,122976.0,128160.0,118176.0,127008.0,546,127008.0,0.0
FFAI,2021-01-27,132000.0,143904.0,120288.0,124800.0,467,124800.0,0.0
FFAI,2021-01-28,153504.0,168000.0,139200.0,148128.0,1665,148128.0,0.0
FFAI,2021-01-29,194976.0,198240.0,163872.0,177120.0,1532,177120.0,0.0
FFAI,2021-02-01,193632.0,199200.0,182400.0,183936.0,681,183936.0,0.0
FFAI,2021-02-02,182880.0,183840.0,168096.0,170688.0,437,170688.0,0.0
FFAI,2021-02-03,168854.40625,177600.0,155040.0,155520.0,504,155520.0,0.0
