symbol,date,open,high,low,close,volume,adjclose
FLWS,2000-01-03,11.0625,11.75,10.25,11.4375,371200,11.4375
FLWS,2000-01-04,11.28125,11.4375,10.8125,11.1875,331700,11.1875
FLWS,2000-01-05,11.375,11.625,11.0,11.375,446600,11.375
FLWS,2000-01-06,11.625,12.375,11.5,12.125,317200,12.125
FLWS,2000-01-07,11.9375,12.5625,11.875,12.4375,326300,12.4375
FLWS,2000-01-10,12.5,12.8125,11.5,11.8125,202400,11.8125
FLWS,2000-01-11,11.875,11.875,11.125,11.5,138500,11.5
FLWS,2000-01-12,11.625,11.625,10.75,11.0625,156800,11.0625
FLWS,2000-01-13,10.875,11.125,10.625,10.65625,68100,10.65625
FLWS,2000-01-14,10.875,11.125,10.3125,10.75,256700,10.75
FLWS,2000-01-18,10.46875,10.5,9.9375,10.0,313100,10.0
FLWS,2000-01-19,10.1875,10.3125,10.0,10.0625,354700,10.0625
FLWS,2000-01-20,10.25,10.75,9.875,10.5,575400,10.5
FLWS,2000-01-21,10.75,11.0,10.125,10.8125,443300,10.8125
FLWS,2000-01-24,11.8125,12.25,11.375,12.125,584000,12.125
FLWS,2000-01-25,12.25,12.5,11.5,11.75,271600,11.75
FLWS,2000-01-26,11.9375,12.125,10.375,10.5625,326500,10.5625
FLWS,2000-01-27,10.75,10.75,10.0,10.1875,497300,10.1875
FLWS,2000-01-28,10.3125,11.0,10.125,10.5,611000,10.5
FLWS,2000-01-31,10.875,10.875,9.75,9.75,367800,9.75
FLWS,2000-02-01,9.875,9.9375,8.84375,9.0625,440200,9.0625
FLWS,2000-02-02,9.375,9.375,8.625,9.1875,447600,9.1875
FLWS,2000-02-03,9.625,10.875,9.5,10.875,405700,10.875
FLWS,2000-02-04,10.625,13.0,10.625,11.6875,410600,11.6875
FLWS,2000-02-07,11.9375,12.25,11.125,11.6875,458200,11.6875
FLWS,2000-02-08,12.0,12.0,11.5,11.75,323300,11.75
FLWS,2000-02-09,12.0,12.25,11.5,11.625,256400,11.625
FLWS,2000-02-10,11.75,11.9375,11.625,11.6875,172900,11.6875
FLWS,2000-02-11,11.8125,12.125,11.5,11.6875,226300,11.6875
FLWS,2000-02-14,11.625,11.75,10.75,11.0,229700,11.0
FLWS,2000-02-15,10.8125,11.0,10.0,10.25,443900,10.25
FLWS,2000-02-16,10.1875,11.125,10.1875,10.6875,247900,10.6875
FLWS,2000-02-17,10.75,11.0,10.4375,10.75,697400,10.75
FLWS,2000-02-18,10.5625,10.875,10.5,10.6875,143300,10.6875
FLWS,2000-02-22,10.6875,10.8125,10.0625,10.125,655100,10.125
FLWS,2000-02-23,10.1875,10.3125,9.625,9.8125,306500,9.8125
FLWS,2000-02-24,9.5,10.0,9.4375,9.8125,115000,9.8125
FLWS,2000-02-25,9.625,9.9375,9.1875,9.1875,355100,9.1875
FLWS,2000-02-28,9.34375,9.5,8.75,8.75,169900,8.75
FLWS,2000-02-29,8.875,9.5,8.75,9.1875,316600,9.1875
FLWS,2000-03-01,9.5,9.5,8.875,8.875,250600,8.875
FLWS,2000-03-02,9.0,9.25,8.75,8.8125,122700,8.8125
FLWS,2000-03-03,8.875,8.875,8.0625,8.1875,475500,8.1875
FLWS,2000-03-06,8.125,8.25,7.75,7.90625,249700,7.90625
FLWS,2000-03-07,7.875,8.125,7.3125,7.8125,161500,7.8125
FLWS,2000-03-08,7.8125,7.9375,7.25,7.4375,149800,7.4375
FLWS,2000-03-09,7.4375,7.4375,6.875,7.125,396000,7.125
FLWS,2000-03-10,7.3125,7.4375,7.0,7.03125,340500,7.03125
FLWS,2000-03-13,7.1875,7.375,7.0,7.25,396700,7.25
FLWS,2000-03-14,7.3125,7.375,6.875,7.0,331100,7.0
FLWS,2000-03-15,7.0,7.1875,6.875,6.875,264100,6.875
FLWS,2000-03-16,7.0,7.125,6.625,6.875,280500,6.875
FLWS,2000-03-17,7.0,7.0,6.5,6.8125,477900,6.8125
FLWS,2000-03-20,6.6875,6.8125,6.28125,6.59375,199600,6.59375
FLWS,2000-03-21,6.71875,6.875,6.3125,6.75,185500,6.75
FLWS,2000-03-22,6.875,7.5,6.6875,7.25,475000,7.25
FLWS,2000-03-23,7.375,7.875,7.375,7.8125,223700,7.8125
FLWS,2000-03-24,7.875,8.125,7.6875,7.875,313500,7.875
FLWS,2000-03-27,7.9375,8.0,7.625,7.75,90600,7.75
FLWS,2000-03-28,7.9375,8.0,7.25,7.375,156200,7.375
FLWS,2000-03-29,7.75,7.875,6.75,7.1875,141900,7.1875
FLWS,2000-03-30,7.0,7.25,6.75,7.125,81800,7.125
FLWS,2000-03-31,7.25,7.375,7.0,7.125,82700,7.125
FLWS,2000-04-03,7.25,7.5,7.0,7.0,98300,7.0
FLWS,2000-04-04,7.0,7.125,6.125,6.4375,364100,6.4375
FLWS,2000-04-05,6.1875,6.375,5.75,6.25,216300,6.25
FLWS,2000-04-06,6.5,6.5,5.8125,6.0,229100,6.0
FLWS,2000-04-07,5.9375,6.0625,5.875,6.0,137900,6.0
FLWS,2000-04-10,6.03125,6.1875,5.875,6.0625,130200,6.0625
FLWS,2000-04-11,6.0625,6.0625,5.75,5.875,145700,5.875
