symbol,date,open,high,low,close,volume,adjclose,splits
GBR,2000-01-03,6.875,6.875,6.875,6.875,50,6.875,0.0
GBR,2000-01-04,6.875,6.875,6.875,6.875,0,6.875,0.0
GBR,2000-01-05,6.875,6.875,6.875,6.875,510,6.875,0.0
GBR,2000-01-06,7.5,7.5,6.875,6.875,440,6.875,0.0
GBR,2000-01-07,7.5,7.5,7.5,7.5,250,7.5,0.0
GBR,2000-01-10,9.375,9.375,9.375,9.375,50,9.375,0.0
GBR,2000-01-11,9.375,9.375,9.375,9.375,0,9.375,0.0
GBR,2000-01-12,9.375,12.5,9.375,12.5,630,12.5,0.0
GBR,2000-01-13,11.25,12.5,11.25,12.5,240,12.5,0.0
GBR,2000-01-14,10.0,10.0,10.0,10.0,30,10.0,0.0
GBR,2000-01-18,10.625,10.625,10.625,10.625,330,10.625,0.0
GBR,2000-01-19,10.0,10.0,10.0,10.0,50,10.0,0.0
GBR,2000-01-20,10.0,10.0,10.0,10.0,0,10.0,0.0
GBR,2000-01-21,10.0,10.625,10.0,10.625,70,10.625,0.0
GBR,2000-01-24,10.625,10.625,10.0,10.0,230,10.0,0.0
GBR,2000-01-25,10.0,10.0,10.0,10.0,150,10.0,0.0
GBR,2000-01-26,11.875,11.875,10.0,10.0,300,10.0,0.0
GBR,2000-01-27,11.25,11.875,11.25,11.875,200,11.875,0.0
GBR,2000-01-28,11.875,11.875,11.875,11.875,100,11.875,0.0
GBR,2000-01-31,11.875,11.875,11.875,11.875,820,11.875,0.0
GBR,2000-02-01,12.5,12.5,12.5,12.5,120,12.5,0.0
GBR,2000-02-02,12.5,12.5,12.5,12.5,250,12.5,0.0
GBR,2000-02-03,13.75,13.75,13.75,13.75,150,13.75,0.0
GBR,2000-02-04,11.25,12.5,11.25,12.5,260,12.5,0.0
GBR,2000-02-07,12.5,12.5,12.5,12.5,0,12.5,0.0
GBR,2000-02-08,12.5,12.5,12.5,12.5,10,12.5,0.0
GBR,2000-02-09,13.75,15.0,13.75,15.0,650,15.0,0.0
GBR,2000-02-10,16.875,17.5,15.0,16.875,680,16.875,0.0
GBR,2000-02-11,16.875,16.875,16.875,16.875,240,16.875,0.0
GBR,2000-02-14,12.5,15.0,12.5,15.0,770,15.0,0.0
GBR,2000-02-15,15.0,15.0,15.0,15.0,0,15.0,0.0
GBR,2000-02-16,13.75,15.0,13.75,13.75,240,13.75,0.0
GBR,2000-02-17,15.0,15.0,15.0,15.0,100,15.0,0.0
GBR,2000-02-18,15.0,15.0,15.0,15.0,0,15.0,0.0
GBR,2000-02-22,15.0,15.0,13.75,13.75,580,13.75,0.0
GBR,2000-02-23,16.25,16.25,15.0,15.0,120,15.0,0.0
GBR,2000-02-24,15.0,16.25,15.0,16.25,350,16.25,0.0
GBR,2000-02-25,16.25,16.25,16.25,16.25,20,16.25,0.0
GBR,2000-02-28,15.0,16.25,15.0,16.25,90,16.25,0.0
GBR,2000-02-29,13.75,14.375,13.75,14.375,80,14.375,0.0
GBR,2000-03-01,14.375,30.0,14.375,26.25,2420,26.25,0.0
GBR,2000-03-02,28.75,40.0,28.75,33.75,4190,33.75,0.0
GBR,2000-03-03,36.25,36.25,30.0,30.0,2000,30.0,0.0
GBR,2000-03-06,30.0,33.75,30.0,31.25,950,31.25,0.0
GBR,2000-03-07,32.5,33.75,31.25,31.25,690,31.25,0.0
