symbol,date,open,high,low,close,volume,adjclose,dividends
GIC,2000-01-03,8.625,8.625,8.0625,8.1875,44600,3.399648666381836,0.0
GIC,2000-01-04,8.125,8.5,8.125,8.375,37500,3.4775025844573975,0.0
GIC,2000-01-05,8.375,8.375,8.3125,8.375,33000,3.4775025844573975,0.0
GIC,2000-01-06,8.375,8.375,8.125,8.25,36800,3.4255998134613037,0.0
GIC,2000-01-07,8.25,8.4375,8.25,8.4375,15000,3.5034546852111816,0.0
GIC,2000-01-10,8.4375,8.5,8.125,8.25,56200,3.4255998134613037,0.0
GIC,2000-01-11,8.25,8.875,8.25,8.6875,50500,3.6072592735290527,0.0
GIC,2000-01-12,8.625,8.625,8.5,8.5,20800,3.529404640197754,0.0
GIC,2000-01-13,8.5,8.625,8.3125,8.5,37200,3.529404640197754,0.0
GIC,2000-01-14,8.375,8.4375,8.25,8.375,38300,3.4775025844573975,0.0
GIC,2000-01-18,8.375,8.9375,8.375,8.9375,63500,3.711066722869873,0.0
GIC,2000-01-19,8.9375,8.9375,8.6875,8.875,42500,3.685114860534668,0.0
GIC,2000-01-20,8.875,8.875,8.6875,8.875,87100,3.685114860534668,0.0
GIC,2000-01-21,8.875,9.5625,8.875,9.5625,76900,3.9705810546875,0.0
GIC,2000-01-24,9.6875,9.9375,9.25,9.25,54800,3.8408243656158447,0.0
GIC,2000-01-25,9.25,9.4375,9.25,9.4375,40300,3.9186789989471436,0.0
GIC,2000-01-26,9.4375,9.75,9.4375,9.5,16400,3.9446310997009277,0.0
GIC,2000-01-27,9.5625,9.75,9.4375,9.625,31900,3.9965336322784424,0.0
GIC,2000-01-28,9.5625,9.5625,9.3125,9.4375,54100,3.9186789989471436,0.0
GIC,2000-01-31,9.4375,9.5625,9.3125,9.4375,31800,3.9186789989471436,0.0
GIC,2000-02-01,9.4375,9.4375,8.9375,9.1875,25100,3.814872980117798,0.0
GIC,2000-02-02,9.0625,9.0625,8.875,9.0,49300,3.737018585205078,0.0
GIC,2000-02-03,9.0625,9.3125,9.0625,9.25,17200,3.8408243656158447,0.0
GIC,2000-02-04,9.3125,9.625,9.1875,9.5,39000,3.9446310997009277,0.0
GIC,2000-02-07,9.5,9.75,9.5,9.5625,21800,3.9705810546875,0.0
GIC,2000-02-08,9.625,11.125,9.625,11.0625,92100,4.593419075012207,0.0
GIC,2000-02-09,11.0,11.0,10.375,10.5,64400,4.3598551750183105,0.0
GIC,2000-02-10,10.5,11.375,10.375,11.0,53200,4.567467212677002,0.0
GIC,2000-02-11,10.75,10.75,10.5,10.5,33700,4.3598551750183105,0.0
GIC,2000-02-14,10.5,10.75,10.3125,10.5,46300,4.3598551750183105,0.0
GIC,2000-02-15,10.5,10.6875,9.875,9.875,24800,4.100337982177734,0.0
GIC,2000-02-16,9.75,10.3125,9.75,10.0,55300,4.152244567871094,0.0
GIC,2000-02-17,10.0,10.0,9.6875,9.6875,20000,4.022484302520752,0.0
GIC,2000-02-18,9.6875,9.75,9.5,9.5625,8500,3.9705810546875,0.0
GIC,2000-02-22,9.6875,9.6875,8.875,9.0625,63200,3.7629692554473877,0.0
GIC,2000-02-23,9.1875,9.5,9.0,9.3125,9900,3.8667759895324707,0.0
GIC,2000-02-24,9.3125,9.3125,8.0,9.125,66800,3.788921356201172,0.0
GIC,2000-02-25,9.25,9.25,8.3125,9.0,42200,3.737018585205078,0.0
GIC,2000-02-28,9.0,9.0,8.625,8.6875,14600,3.6072592735290527,0.0
GIC,2000-02-29,8.75,9.875,8.625,9.875,95400,4.100337982177734,0.0
GIC,2000-03-01,10.125,10.6875,10.0,10.5,117800,4.3598551750183105,0.0
GIC,2000-03-02,9.875,9.875,8.9375,9.25,100500,3.8408243656158447,0.0
GIC,2000-03-03,9.3125,9.375,8.5,8.625,30800,3.5813093185424805,0.0
GIC,2000-03-06,8.5,8.625,8.25,8.3125,34400,3.4515511989593506,0.0
GIC,2000-03-07,8.4375,9.125,8.25,8.5,92500,3.529404640197754,0.0
GIC,2000-03-08,8.625,8.75,8.125,8.4375,29700,3.5034546852111816,0.0
GIC,2000-03-09,8.5,9.3125,8.5,9.1875,635600,3.814872980117798,0.0
GIC,2000-03-10,9.0625,9.1875,9.0,9.0625,30600,3.7629692554473877,0.0
GIC,2000-03-13,9.0625,9.0625,8.875,9.0,35900,3.737018585205078,0.0
GIC,2000-03-14,9.0625,9.0625,8.9375,9.0625,92100,3.7629692554473877,0.0
GIC,2000-03-15,9.0625,9.0625,9.0,9.0,30200,3.737018585205078,0.0
GIC,2000-03-16,9.0,9.0625,9.0,9.0625,81600,3.7629692554473877,0.0
GIC,2000-03-17,9.0,9.25,9.0,9.125,34500,3.788921356201172,0.0
GIC,2000-03-20,9.25,9.25,9.0625,9.125,21600,3.788921356201172,0.0
GIC,2000-03-21,9.0625,9.1875,9.0625,9.1875,39300,3.814872980117798,0.0
GIC,2000-03-22,9.25,9.25,9.0,9.25,145000,3.8408243656158447,0.0
GIC,2000-03-23,9.125,9.1875,9.0,9.0,55600,3.737018585205078,0.0
GIC,2000-03-24,9.0,9.125,9.0,9.0,26700,3.737018585205078,0.0
GIC,2000-03-27,9.0,9.1875,9.0,9.125,142100,3.788921356201172,0.0
GIC,2000-03-28,9.125,9.1875,9.0,9.0,33800,3.737018585205078,0.0
GIC,2000-03-29,9.0,9.125,9.0,9.0625,88700,3.7629692554473877,0.0
GIC,2000-03-30,9.0,9.25,8.75,9.0625,37300,3.7629692554473877,0.0
GIC,2000-03-31,9.0,9.125,9.0,9.125,31400,3.788921356201172,0.0
GIC,2000-04-03,9.125,9.125,8.9375,9.0,13900,3.737018585205078,0.0
GIC,2000-04-04,9.0,9.1875,9.0,9.0,65600,3.737018585205078,0.0
GIC,2000-04-05,9.125,9.1875,8.75,8.8125,26400,3.6591649055480957,0.0
GIC,2000-04-06,8.9375,9.0,8.75,9.0,8900,3.737018585205078,0.0
GIC,2000-04-07,8.9375,9.0,8.625,9.0,17500,3.737018585205078,0.0
GIC,2000-04-10,9.125,9.1875,8.8125,8.8125,20900,3.6591649055480957,0.0
GIC,2000-04-11,8.9375,8.9375,8.5,8.75,17500,3.633211851119995,0.0
GIC,2000-04-12,8.625,8.875,8.5625,8.5625,14800,3.5553572177886963,0.0
GIC,2000-04-13,8.4375,8.625,8.25,8.375,17600,3.4775025844573975,0.0
GIC,2000-04-14,8.25,8.875,8.0,8.0,32200,3.321793556213379,0.0
GIC,2000-04-17,8.0,8.0625,7.625,7.8125,25700,3.2439398765563965,0.0
GIC,2000-04-18,7.8125,8.0,7.6875,8.0,139200,3.321793556213379,0.0
GIC,2000-04-19,7.875,7.9375,7.75,7.875,24900,3.2698915004730225,0.0
GIC,2000-04-20,7.875,8.0,7.625,7.9375,46000,3.2958431243896484,0.0
GIC,2000-04-24,7.8125,7.9375,7.3125,7.625,22800,3.166083812713623,0.0
GIC,2000-04-25,7.5,7.625,7.4375,7.625,24000,3.166083812713623,0.0
GIC,2000-04-26,7.6875,7.6875,7.25,7.375,28400,3.0622780323028564,0.0
GIC,2000-04-27,7.25,7.5,7.25,7.4375,11000,3.0882298946380615,0.0
GIC,2000-04-28,7.4375,7.6875,7.4375,7.6875,14400,3.1920344829559326,0.0
GIC,2000-05-01,7.625,7.6875,7.4375,7.625,12000,3.166083812713623,0.0
GIC,2000-05-02,7.5,7.5,7.125,7.125,55900,2.958472490310669,0.0
GIC,2000-05-03,7.25,7.3125,7.125,7.1875,9300,2.9844231605529785,0.0
GIC,2000-05-04,7.3125,7.3125,6.875,7.0,35100,2.906569719314575,0.0
GIC,2000-05-05,7.0,7.3125,7.0,7.3125,11500,3.0363271236419678,0.0
GIC,2000-05-08,7.25,7.25,6.875,6.9375,17800,2.8806183338165283,0.0
GIC,2000-05-09,6.9375,7.0,6.875,6.9375,20800,2.8806183338165283,0.0
GIC,2000-05-10,6.9375,7.25,6.8125,6.875,121000,2.8546674251556396,0.0
GIC,2000-05-11,7.0,7.25,6.9375,7.0625,17300,2.932521343231201,0.0
GIC,2000-05-12,7.0625,7.25,6.5,7.0625,489900,2.932521343231201,0.0
GIC,2000-05-15,7.125,7.125,6.875,7.0,7900,2.906569719314575,0.0
GIC,2000-05-16,7.0,7.5,7.0,7.4375,17000,3.0882298946380615,0.0
GIC,2000-05-17,7.5,7.625,7.375,7.375,35600,3.0622780323028564,0.0
GIC,2000-05-18,7.5,7.5625,7.3125,7.3125,15300,3.0363271236419678,0.0
GIC,2000-05-19,7.4375,7.5625,7.25,7.5,9000,3.1141812801361084,0.0
GIC,2000-05-22,7.625,7.625,7.0,7.0625,15600,2.932521343231201,0.0
GIC,2000-05-23,7.125,7.3125,7.125,7.1875,14600,2.9844231605529785,0.0
GIC,2000-05-24,7.1875,7.1875,6.4375,7.0,21600,2.906569719314575,0.0
GIC,2000-05-25,7.125,7.375,7.125,7.1875,8200,2.9844231605529785,0.0
GIC,2000-05-26,7.1875,7.1875,6.625,7.0,26700,2.906569719314575,0.0
GIC,2000-05-30,6.9375,7.25,6.875,7.25,15400,3.010375738143921,0.0
GIC,2000-05-31,7.1875,7.1875,6.75,6.8125,14600,2.8287155628204346,0.0
GIC,2000-06-01,6.9375,6.9375,6.75,6.75,12100,2.8027639389038086,0.0
GIC,2000-06-02,6.75,6.75,6.375,6.4375,19400,2.673006296157837,0.0
GIC,2000-06-05,6.5,6.625,6.1875,6.25,19600,2.595150947570801,0.0
GIC,2000-06-06,6.375,6.5,6.0,6.3125,24500,2.621103286743164,0.0
GIC,2000-06-07,6.3125,6.375,5.875,6.0,34900,2.4913461208343506,0.0
GIC,2000-06-08,5.875,6.25,5.875,6.0,48900,2.4913461208343506,0.0
GIC,2000-06-09,6.0,6.0,5.875,6.0,16300,2.4913461208343506,0.0
GIC,2000-06-12,6.125,6.125,5.75,5.75,24700,2.3875391483306885,0.0
GIC,2000-06-13,5.875,6.0,5.375,5.8125,63100,2.4134912490844727,0.0
GIC,2000-06-14,5.9375,5.9375,5.5,5.5625,11500,2.309684991836548,0.0
GIC,2000-06-15,5.3125,5.3125,4.3125,4.375,185000,1.8166059255599976,0.0
GIC,2000-06-16,4.375,4.375,3.9375,4.0,329700,1.6608967781066895,0.0
GIC,2000-06-19,4.0,4.25,3.9375,4.0,70400,1.6608967781066895,0.0
GIC,2000-06-20,4.0,4.0625,3.75,3.75,84900,1.5570906400680542,0.0
GIC,2000-06-21,3.8125,3.8125,3.5,3.5,45600,1.4532848596572876,0.0
GIC,2000-06-22,3.5625,4.9375,3.5625,4.3125,99300,1.7906546592712402,0.0
GIC,2000-06-23,4.375,4.6875,4.375,4.375,117900,1.8166059255599976,0.0
GIC,2000-06-26,4.375,4.5,3.75,3.8125,65300,1.5830419063568115,0.0
GIC,2000-06-27,3.5625,3.8125,3.5,3.625,107800,1.5051878690719604,0.0
GIC,2000-06-28,3.625,3.75,3.625,3.6875,44200,1.5311390161514282,0.0
GIC,2000-06-29,3.6875,3.6875,3.375,3.4375,96400,1.4273337125778198,0.0
GIC,2000-06-30,3.4375,4.0,3.25,3.875,189800,1.6089935302734375,0.0
GIC,2000-07-03,4.0,4.4375,3.875,4.375,16800,1.8166059255599976,0.0
GIC,2000-07-05,4.4375,4.4375,4.1875,4.1875,13800,1.7387512922286987,0.0
GIC,2000-07-06,4.25,4.25,3.875,4.0,26100,1.6608967781066895,0.0
GIC,2000-07-07,4.0,4.1875,3.875,4.0,21600,1.6608967781066895,0.0
GIC,2000-07-10,4.0,4.125,3.875,4.0,8700,1.6608967781066895,0.0
GIC,2000-07-11,3.875,4.0625,3.875,4.0,19200,1.6608967781066895,0.0
GIC,2000-07-12,4.125,4.1875,4.0,4.1875,15200,1.7387512922286987,0.0
GIC,2000-07-13,4.1875,4.875,4.1875,4.625,77700,1.9204121828079224,0.0
GIC,2000-07-14,4.6875,5.0,4.6875,4.875,17800,2.0242176055908203,0.0
GIC,2000-07-17,4.75,5.0625,4.75,5.0625,24900,2.102072238922119,0.0
GIC,2000-07-18,4.9375,5.125,4.9375,5.125,14500,2.128024101257324,0.0
GIC,2000-07-19,5.0,5.25,5.0,5.1875,10500,2.15397572517395,0.0
GIC,2000-07-20,5.25,5.375,5.0625,5.0625,27100,2.102072238922119,0.0
GIC,2000-07-21,5.0,5.0625,4.5625,4.625,19800,1.9204121828079224,0.0
GIC,2000-07-24,4.5625,4.5625,4.375,4.4375,25200,1.842557430267334,0.0
GIC,2000-07-25,4.3125,4.375,3.625,3.875,102800,1.6089935302734375,0.0
GIC,2000-07-26,3.625,4.125,3.625,3.625,79200,1.5051878690719604,0.0
GIC,2000-07-27,3.6875,3.9375,3.6875,3.875,24700,1.6089935302734375,0.0
GIC,2000-07-28,3.9375,3.9375,3.75,3.8125,7500,1.5830419063568115,0.0
GIC,2000-07-31,3.8125,3.8125,3.625,3.6875,55100,1.5311390161514282,0.0
GIC,2000-08-01,3.625,3.6875,3.5,3.5625,93700,1.4792362451553345,0.0
GIC,2000-08-02,3.5,3.625,3.5,3.5625,7500,1.4792362451553345,0.0
GIC,2000-08-03,3.5,3.5,3.25,3.25,21200,1.3494786024093628,0.0
GIC,2000-08-04,3.1875,3.375,3.0625,3.1875,105600,1.3235275745391846,0.0
