symbol,date,open,high,low,close,volume,adjclose,dividends
MRSA3B.SA,2013-01-17,20.0,20.0,20.0,20.0,1000,12.159317970275879,0.0
MRSA3B.SA,2013-01-18,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-01-21,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-01-22,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-01-23,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-01-24,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-01-28,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-01-29,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-01-30,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-01-31,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-01,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-04,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-05,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-06,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-07,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-08,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-13,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-14,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-15,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-18,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-19,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-20,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-21,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-22,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-25,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-26,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-27,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-02-28,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-01,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-04,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-05,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-06,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-07,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-08,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-11,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-12,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-13,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-14,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-15,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-18,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-19,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-20,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-21,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-22,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-25,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-26,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-27,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-03-28,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-01,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-02,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-03,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-04,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-05,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-08,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-09,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-10,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-11,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-12,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-15,20.0,20.0,20.0,20.0,0,12.159317970275879,0.0
MRSA3B.SA,2013-04-16,22.0,22.0,22.0,22.0,1000,13.375252723693848,0.0
MRSA3B.SA,2013-04-17,22.0,22.0,22.0,22.0,0,13.375252723693848,0.0
MRSA3B.SA,2013-04-18,22.0,22.0,22.0,22.0,0,13.375252723693848,0.0
MRSA3B.SA,2013-04-19,22.0,22.0,22.0,22.0,0,13.375252723693848,0.0
MRSA3B.SA,2013-04-22,22.0,22.0,22.0,22.0,0,13.375252723693848,0.0
MRSA3B.SA,2013-04-23,22.0,22.0,22.0,22.0,0,13.375252723693848,0.0
MRSA3B.SA,2013-04-24,22.0,22.0,22.0,22.0,0,13.375252723693848,0.0
MRSA3B.SA,2013-04-25,22.0,22.0,22.0,22.0,0,13.375252723693848,0.0
MRSA3B.SA,2013-04-26,22.0,22.0,22.0,22.0,0,13.742901802062988,0.588551
MRSA3B.SA,2013-04-29,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-04-30,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-02,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-03,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-06,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-07,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-08,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-09,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-10,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-13,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-14,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-15,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-16,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-17,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-20,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-21,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-22,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-23,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-24,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-27,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-28,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-29,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-05-31,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-03,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-04,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-05,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-06,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-07,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-10,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-11,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-12,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-13,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-14,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-17,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-18,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-19,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-20,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-21,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-24,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-25,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-26,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-27,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-06-28,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-01,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-02,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-03,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-04,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-05,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-08,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-10,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-11,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-12,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-15,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-16,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-17,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-18,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-19,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-22,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
MRSA3B.SA,2013-07-23,22.0,22.0,22.0,22.0,0,13.742901802062988,0.0
