symbol,date,open,high,low,close,volume,adjclose,dividends
OIA,2000-01-03,7.75,7.8125,7.6875,7.6875,22700,1.6165088415145874,0.0
OIA,2000-01-04,7.75,7.8125,7.75,7.8125,3400,1.6427940130233765,0.0
OIA,2000-01-05,7.8125,7.8125,7.6875,7.6875,35200,1.627550482749939,0.053
OIA,2000-01-06,7.8125,7.8125,7.75,7.8125,21800,1.6540148258209229,0.0
OIA,2000-01-07,7.8125,7.9375,7.75,7.875,44300,1.6672470569610596,0.0
OIA,2000-01-10,7.9375,7.9375,7.875,7.9375,12900,1.680480718612671,0.0
OIA,2000-01-11,7.9375,8.0,7.875,7.9375,109000,1.680480718612671,0.0
OIA,2000-01-12,8.0,8.0,7.9375,7.9375,14900,1.680480718612671,0.0
OIA,2000-01-13,7.9375,7.9375,7.875,7.9375,34900,1.680480718612671,0.0
OIA,2000-01-14,7.9375,7.9375,7.875,7.875,28800,1.6672470569610596,0.0
OIA,2000-01-18,7.9375,7.9375,7.8125,7.8125,24400,1.6540148258209229,0.0
OIA,2000-01-19,7.8125,7.9375,7.8125,7.8125,53900,1.6540148258209229,0.0
OIA,2000-01-20,7.875,7.9375,7.8125,7.8125,40400,1.6540148258209229,0.0
OIA,2000-01-21,7.875,7.875,7.8125,7.875,6200,1.6672470569610596,0.0
OIA,2000-01-24,7.9375,7.9375,7.875,7.9375,26900,1.680480718612671,0.0
OIA,2000-01-25,7.8125,7.875,7.8125,7.8125,27900,1.6540148258209229,0.0
OIA,2000-01-26,7.9375,7.9375,7.8125,7.8125,16400,1.6540148258209229,0.0
OIA,2000-01-27,7.9375,8.0625,7.9375,8.0625,31200,1.7069423198699951,0.0
OIA,2000-01-28,8.0,8.0625,7.9375,7.9375,23900,1.680480718612671,0.0
OIA,2000-01-31,7.9375,7.9375,7.875,7.9375,26100,1.680480718612671,0.0
OIA,2000-02-01,8.0,8.0,7.875,7.875,21300,1.6672470569610596,0.0
OIA,2000-02-02,7.9375,7.9375,7.8125,7.9375,53700,1.6918666362762451,0.053
OIA,2000-02-03,7.875,7.9375,7.875,7.875,3500,1.678544521331787,0.0
OIA,2000-02-04,8.0,8.0,7.875,7.875,7100,1.678544521331787,0.0
OIA,2000-02-07,7.875,7.9375,7.875,7.875,10400,1.678544521331787,0.0
OIA,2000-02-08,7.9375,7.9375,7.875,7.875,12200,1.678544521331787,0.0
OIA,2000-02-09,7.875,8.0,7.875,7.9375,27300,1.6918666362762451,0.0
OIA,2000-02-10,8.0,8.0,7.9375,7.9375,8500,1.6918666362762451,0.0
OIA,2000-02-11,8.0,8.0,7.9375,7.9375,76600,1.6918666362762451,0.0
OIA,2000-02-14,7.9375,8.0,7.9375,7.9375,37600,1.6918666362762451,0.0
OIA,2000-02-15,8.0,8.0,7.9375,8.0,19500,1.7051877975463867,0.0
OIA,2000-02-16,7.9375,8.0,7.9375,7.9375,57600,1.6918666362762451,0.0
OIA,2000-02-17,7.9375,8.0,7.9375,8.0,27000,1.7051877975463867,0.0
OIA,2000-02-18,8.0625,8.0625,7.9375,8.0,11200,1.7051877975463867,0.0
OIA,2000-02-22,8.0625,8.0625,8.0,8.0,24400,1.7051877975463867,0.0
OIA,2000-02-23,8.0625,8.0625,7.9375,8.0,22300,1.7051877975463867,0.0
OIA,2000-02-24,8.0,8.0625,8.0,8.0,19500,1.7051877975463867,0.0
OIA,2000-02-25,8.0625,8.0625,8.0,8.0,19400,1.7051877975463867,0.0
OIA,2000-02-28,8.0,8.0625,8.0,8.0,17100,1.7051877975463867,0.0
OIA,2000-02-29,8.0625,8.0625,7.9375,8.0,14600,1.7051877975463867,0.0
OIA,2000-03-01,8.0,8.0,7.8125,7.9375,18100,1.7031484842300415,0.053
OIA,2000-03-02,7.9375,7.9375,7.875,7.875,17000,1.6897380352020264,0.0
OIA,2000-03-03,7.9375,8.0,7.875,7.9375,27000,1.7031484842300415,0.0
OIA,2000-03-06,7.9375,8.0,7.9375,8.0,3500,1.7165606021881104,0.0
OIA,2000-03-07,8.0,8.0,7.9375,7.9375,34900,1.7031484842300415,0.0
OIA,2000-03-08,8.0,8.0,7.8125,7.9375,29000,1.7031484842300415,0.0
OIA,2000-03-09,8.0,8.0,7.9375,7.9375,37000,1.7031484842300415,0.0
OIA,2000-03-10,8.0,8.0,7.9375,7.9375,27200,1.7031484842300415,0.0
OIA,2000-03-13,7.9375,7.9375,7.9375,7.9375,4900,1.7031484842300415,0.0
OIA,2000-03-14,7.9375,8.0,7.9375,7.9375,27700,1.7031484842300415,0.0
OIA,2000-03-15,8.0,8.0,7.875,8.0,44700,1.7165606021881104,0.0
OIA,2000-03-16,8.0,8.0,7.9375,7.9375,13800,1.7031484842300415,0.0
OIA,2000-03-17,7.9375,8.0,7.875,7.875,37800,1.6897380352020264,0.0
OIA,2000-03-20,8.0,8.0,7.875,7.875,15900,1.6897380352020264,0.0
OIA,2000-03-21,7.875,7.9375,7.875,7.875,14300,1.6897380352020264,0.0
OIA,2000-03-22,7.9375,7.9375,7.875,7.875,9900,1.6897380352020264,0.0
OIA,2000-03-23,7.875,8.0,7.875,7.9375,23100,1.7031484842300415,0.0
OIA,2000-03-24,8.0,8.0625,7.9375,7.9375,14600,1.7031484842300415,0.0
OIA,2000-03-27,7.9375,8.0,7.875,7.875,10700,1.6897380352020264,0.0
OIA,2000-03-28,7.9375,7.9375,7.875,7.875,9200,1.6897380352020264,0.0
OIA,2000-03-29,8.0,8.0,7.9375,7.9375,21500,1.7031484842300415,0.0
OIA,2000-03-30,7.9375,8.0,7.9375,7.9375,16500,1.7031484842300415,0.0
OIA,2000-03-31,8.0,8.0625,7.9375,8.0625,28800,1.729970097541809,0.0
OIA,2000-04-03,8.0625,8.125,8.0,8.125,17300,1.7433809041976929,0.0
