symbol,date,open,high,low,close,volume,adjclose,dividends
PHI,2000-01-03,26.75,28.25,26.4375,28.125,277600,7.604289531707764,0.0
PHI,2000-01-04,28.0,28.0,27.125,27.125,271700,7.3339152336120605,0.0
PHI,2000-01-05,25.625,25.875,25.125,25.5,238300,6.894553184509277,0.0
PHI,2000-01-06,24.875,24.9375,24.5625,24.625,61800,6.6579790115356445,0.0
PHI,2000-01-07,24.75,25.375,24.6875,25.375,133400,6.860759258270264,0.0
PHI,2000-01-10,25.5,25.6875,25.4375,25.6875,60800,6.945248603820801,0.0
PHI,2000-01-11,25.6875,25.6875,25.5,25.5625,73600,6.911452770233154,0.0
PHI,2000-01-12,24.875,24.9375,24.375,24.375,153100,6.590384483337402,0.0
PHI,2000-01-13,24.5,25.0625,24.5,25.0,136300,6.759368896484375,0.0
PHI,2000-01-14,25.4375,25.4375,25.0,25.1875,138100,6.810063362121582,0.0
PHI,2000-01-18,25.4375,25.5,24.625,25.1875,301700,6.810063362121582,0.0
PHI,2000-01-19,24.25,25.0625,24.1875,24.875,196100,6.725572109222412,0.0
PHI,2000-01-20,24.625,24.875,24.0625,24.1875,96000,6.539689064025879,0.0
PHI,2000-01-21,24.3125,24.5,24.125,24.25,119100,6.556588172912598,0.0
PHI,2000-01-24,24.125,24.3125,23.625,24.25,63000,6.556588172912598,0.0
PHI,2000-01-25,24.5,24.6875,24.125,24.4375,151500,6.607283592224121,0.0
PHI,2000-01-26,24.5,24.625,24.4375,24.5625,103200,6.641078948974609,0.0
PHI,2000-01-27,24.3125,24.3125,24.125,24.1875,109700,6.539689064025879,0.0
PHI,2000-01-28,24.0625,24.125,23.25,23.375,139800,6.32000732421875,0.0
PHI,2000-01-31,23.375,23.375,23.0,23.125,119600,6.252415180206299,0.0
PHI,2000-02-01,23.0625,24.25,23.0625,24.0,106100,6.488994121551514,0.0
PHI,2000-02-02,23.625,23.9375,23.625,23.75,37000,6.421401023864746,0.0
PHI,2000-02-03,24.125,24.5625,24.0625,24.4375,79600,6.607283592224121,0.0
PHI,2000-02-04,24.625,24.625,24.375,24.4375,67400,6.607283592224121,0.0
PHI,2000-02-07,24.4375,24.4375,24.125,24.125,26600,6.522790431976318,0.0
PHI,2000-02-08,23.625,24.25,23.625,24.0625,126400,6.5058913230896,0.0
PHI,2000-02-09,23.875,24.25,23.75,24.1875,148200,6.539689064025879,0.0
PHI,2000-02-10,24.0,24.0,23.75,23.8125,133900,6.438297271728516,0.0
PHI,2000-02-11,23.5625,23.75,23.5,23.5625,340000,6.370705604553223,0.0
PHI,2000-02-14,23.375,24.0,23.25,23.875,221400,6.455197811126709,0.0
PHI,2000-02-15,23.5,23.5,23.25,23.25,48500,6.286212921142578,0.0
PHI,2000-02-16,23.25,23.625,22.75,23.0,104400,6.2186174392700195,0.0
PHI,2000-02-17,23.0,23.4375,22.9375,23.25,39300,6.286212921142578,0.0
PHI,2000-02-18,23.125,23.3125,23.0,23.1875,154600,6.269313335418701,0.0
PHI,2000-02-22,22.5,22.875,22.5,22.8125,95100,6.1679229736328125,0.0
PHI,2000-02-23,22.625,22.625,22.25,22.3125,292200,6.032735347747803,0.0
PHI,2000-02-24,22.125,22.25,21.625,21.8125,117900,5.897547245025635,0.0
PHI,2000-02-25,21.25,21.3125,21.0625,21.3125,119500,5.762360572814941,0.0
PHI,2000-02-28,21.0625,21.0625,20.5,20.625,81900,5.576478958129883,0.0
