symbol,date,open,high,low,close,volume,adjclose,dividends,splits
RELX,2000-01-03,7.53125,7.5625,7.453125,7.453125,21200,3.7875759601593018,0.0,0.0
RELX,2000-01-04,7.484375,7.75,7.484375,7.65625,72000,3.890800952911377,0.0,0.0
RELX,2000-01-05,7.53125,7.625,7.46875,7.625,18400,3.8749213218688965,0.0,0.0
RELX,2000-01-06,7.53125,7.5625,7.4375,7.5625,19600,3.8431577682495117,0.0,0.0
RELX,2000-01-07,7.5,7.53125,7.40625,7.4375,36000,3.7796363830566406,0.0,0.0
RELX,2000-01-10,8.25,8.34375,7.875,7.875,156000,4.001966953277588,0.0,0.0
RELX,2000-01-11,8.34375,8.59375,8.34375,8.40625,119600,4.271941661834717,0.0,0.0
RELX,2000-01-12,8.1875,8.1875,7.96875,7.96875,28000,4.049610137939453,0.0,0.0
RELX,2000-01-13,7.90625,7.96875,7.84375,7.90625,15200,4.01784610748291,0.0,0.0
RELX,2000-01-14,8.03125,8.125,7.921875,8.03125,49200,4.081371784210205,0.0,0.0
RELX,2000-01-18,8.0,8.078125,7.9375,7.984375,26000,4.057548999786377,0.0,0.0
RELX,2000-01-19,8.015625,8.09375,7.875,8.03125,35600,4.081371784210205,0.0,0.0
RELX,2000-01-20,8.0,8.0625,7.90625,7.9375,20800,4.03372859954834,0.0,0.0
RELX,2000-01-21,7.96875,8.03125,7.84375,8.03125,24800,4.081371784210205,0.0,0.0
RELX,2000-01-24,8.25,8.25,8.125,8.140625,8800,4.136952877044678,0.0,0.0
RELX,2000-01-25,8.0,8.0625,7.96875,8.0625,12000,4.097250938415527,0.0,0.0
RELX,2000-01-26,8.09375,8.25,8.0625,8.125,71600,4.129014015197754,0.0,0.0
RELX,2000-01-27,8.171875,8.34375,8.125,8.125,30400,4.129014015197754,0.0,0.0
RELX,2000-01-28,8.0625,8.0625,7.9375,8.0,103200,4.06549072265625,0.0,0.0
RELX,2000-01-31,7.921875,7.984375,7.859375,7.96875,141200,4.049610137939453,0.0,0.0
RELX,2000-02-01,7.71875,7.890625,7.65625,7.875,57200,4.001966953277588,0.0,0.0
RELX,2000-02-02,7.5625,7.625,7.53125,7.625,17200,3.8749213218688965,0.0,0.0
RELX,2000-02-03,7.8125,8.03125,7.8125,7.953125,200000,4.04166841506958,0.0,0.0
RELX,2000-02-04,7.984375,7.984375,7.84375,7.90625,16000,4.01784610748291,0.0,0.0
RELX,2000-02-07,7.84375,7.84375,7.75,7.78125,10000,3.9543259143829346,0.0,0.0
RELX,2000-02-08,8.0,8.234375,7.9375,8.09375,110800,4.113131999969482,0.0,0.0
RELX,2000-02-09,9.40625,9.96875,9.40625,9.53125,207600,4.843649864196777,0.0,0.0
RELX,2000-02-10,10.125,10.21875,9.90625,9.90625,1508000,5.034221649169922,0.0,0.0
RELX,2000-02-11,9.84375,9.84375,9.53125,9.640625,551600,4.899232387542725,0.0,0.0
RELX,2000-02-14,9.65625,9.65625,9.375,9.5,60000,4.827767848968506,0.0,0.0
