symbol,date,open,high,low,close,volume,adjclose,dividends
SIM,2000-01-03,4.75,5.0,4.625,4.75,8700,4.432111740112305,0.0
SIM,2000-01-04,4.75,4.75,4.125,4.3125,11400,4.023890972137451,0.0
SIM,2000-01-05,4.1875,4.375,4.1875,4.375,1600,4.082208156585693,0.0
SIM,2000-01-06,4.375,4.375,4.375,4.375,0,4.082208156585693,0.0
SIM,2000-01-07,4.125,4.25,4.0,4.25,3000,3.965573787689209,0.0
SIM,2000-01-10,4.3125,4.5,4.3125,4.375,6900,4.082208156585693,0.0
SIM,2000-01-11,4.25,4.25,4.125,4.25,2000,3.965573787689209,0.0
SIM,2000-01-12,4.25,4.25,4.25,4.25,2000,3.965573787689209,0.0
SIM,2000-01-13,4.25,4.25,4.25,4.25,0,3.965573787689209,0.0
SIM,2000-01-14,4.25,4.25,4.25,4.25,2200,3.965573787689209,0.0
SIM,2000-01-18,4.125,4.1875,4.125,4.1875,1000,3.907256603240967,0.0
SIM,2000-01-19,4.125,4.1875,4.125,4.1875,1300,3.907256603240967,0.0
SIM,2000-01-20,4.125,4.125,4.125,4.125,8000,3.8489394187927246,0.0
SIM,2000-01-21,4.125,4.125,4.125,4.125,1500,3.8489394187927246,0.0
SIM,2000-01-24,4.0,4.0,4.0,4.0,6200,3.732304811477661,0.0
SIM,2000-01-25,4.0,4.0,3.75,3.75,11200,3.4990358352661133,0.0
SIM,2000-01-26,4.0,4.0,3.75,3.75,2200,3.4990358352661133,0.0
SIM,2000-01-27,3.625,3.625,3.625,3.625,400,3.38240122795105,0.0
SIM,2000-01-28,3.625,3.625,3.625,3.625,200,3.38240122795105,0.0
SIM,2000-01-31,3.625,3.625,3.625,3.625,0,3.38240122795105,0.0
SIM,2000-02-01,3.5,3.75,3.5,3.75,2000,3.4990358352661133,0.0
SIM,2000-02-02,3.75,3.75,3.75,3.75,600,3.4990358352661133,0.0
SIM,2000-02-03,3.875,4.0,3.875,4.0,15600,3.732304811477661,0.0
SIM,2000-02-04,3.875,4.0,3.875,4.0,2100,3.732304811477661,0.0
SIM,2000-02-07,4.0,4.0,4.0,4.0,900,3.732304811477661,0.0
SIM,2000-02-08,4.0,4.0,4.0,4.0,0,3.732304811477661,0.0
SIM,2000-02-09,3.875,3.875,3.875,3.875,500,3.6156702041625977,0.0
SIM,2000-02-10,3.75,3.875,3.625,3.875,4600,3.6156702041625977,0.0
SIM,2000-02-11,3.875,3.875,3.875,3.875,0,3.6156702041625977,0.0
SIM,2000-02-14,3.875,3.875,3.875,3.875,0,3.6156702041625977,0.0
SIM,2000-02-15,3.75,3.75,3.625,3.625,1000,3.38240122795105,0.0
SIM,2000-02-16,3.625,3.75,3.625,3.75,1100,3.4990358352661133,0.0
SIM,2000-02-17,3.625,4.0,3.625,3.9375,6600,3.673987627029419,0.0
SIM,2000-02-18,4.0,4.25,4.0,4.0,4500,3.732304811477661,0.0
SIM,2000-02-22,4.0,4.0,4.0,4.0,0,3.732304811477661,0.0
SIM,2000-02-23,3.875,3.875,3.875,3.875,2000,3.6156702041625977,0.0
SIM,2000-02-24,3.875,3.875,3.875,3.875,3500,3.6156702041625977,0.0
SIM,2000-02-25,3.875,3.875,3.875,3.875,0,3.6156702041625977,0.0
SIM,2000-02-28,4.0,4.0,3.875,4.0,9000,3.732304811477661,0.0
SIM,2000-02-29,3.875,3.875,3.875,3.875,300,3.6156702041625977,0.0
SIM,2000-03-01,3.625,3.875,3.625,3.875,4500,3.6156702041625977,0.0
SIM,2000-03-02,3.75,3.75,3.75,3.75,1500,3.4990358352661133,0.0
SIM,2000-03-03,3.875,4.0,3.875,3.875,10000,3.6156702041625977,0.0
SIM,2000-03-06,3.75,3.875,3.625,3.625,4400,3.38240122795105,0.0
SIM,2000-03-07,3.5,3.875,3.5,3.875,2100,3.6156702041625977,0.0
SIM,2000-03-08,3.875,3.875,3.875,3.875,0,3.6156702041625977,0.0
SIM,2000-03-09,3.875,3.875,3.875,3.875,0,3.6156702041625977,0.0
SIM,2000-03-10,3.75,3.75,3.75,3.75,1200,3.4990358352661133,0.0
SIM,2000-03-13,3.75,3.75,3.75,3.75,0,3.4990358352661133,0.0
SIM,2000-03-14,3.75,3.75,3.75,3.75,0,3.4990358352661133,0.0
SIM,2000-03-15,3.625,5.0,3.5,4.8125,42000,4.490429401397705,0.0
SIM,2000-03-16,4.75,4.75,4.625,4.625,8600,4.31547737121582,0.0
SIM,2000-03-17,4.375,4.5,3.875,4.5,16700,4.198843002319336,0.0
SIM,2000-03-20,4.5,4.625,4.375,4.375,10700,4.082208156585693,0.0
SIM,2000-03-21,4.625,4.625,4.5,4.5,2400,4.198843002319336,0.0
SIM,2000-03-22,4.375,4.375,4.25,4.25,1300,3.965573787689209,0.0
SIM,2000-03-23,4.125,4.125,4.125,4.125,1000,3.8489394187927246,0.0
SIM,2000-03-24,4.125,4.375,4.125,4.375,4100,4.082208156585693,0.0
SIM,2000-03-27,4.25,4.25,4.25,4.25,5000,3.965573787689209,0.0
SIM,2000-03-28,4.125,4.25,4.125,4.25,6700,3.965573787689209,0.0
SIM,2000-03-29,4.375,4.6875,4.375,4.625,17900,4.31547737121582,0.0
SIM,2000-03-30,4.625,5.0,4.625,4.8125,95900,4.490429401397705,0.0
SIM,2000-03-31,5.0,5.0,5.0,5.0,12300,4.665380954742432,0.0
SIM,2000-04-03,4.875,4.875,4.75,4.75,3000,4.432111740112305,0.0
SIM,2000-04-04,4.75,4.75,4.5,4.5,1000,4.198843002319336,0.0
SIM,2000-04-05,4.5,4.5,4.5,4.5,0,4.198843002319336,0.0
SIM,2000-04-06,4.375,4.375,4.125,4.375,5700,4.082208156585693,0.0
SIM,2000-04-07,4.375,4.375,4.375,4.375,0,4.082208156585693,0.0
SIM,2000-04-10,4.25,4.25,4.25,4.25,1000,3.965573787689209,0.0
SIM,2000-04-11,4.125,4.1875,4.125,4.1875,700,3.907256603240967,0.0
SIM,2000-04-12,4.125,4.125,4.0,4.0,4900,3.732304811477661,0.0
