symbol,date,open,high,low,close,volume,adjclose,dividends,splits
TLK,2000-01-03,5.625,5.9375,5.53125,5.9375,1605400,2.04127836227417,0.0,0.0
TLK,2000-01-04,6.03125,6.0625,5.75,5.84375,1431200,2.0090479850769043,0.0,0.0
TLK,2000-01-05,5.53125,5.8125,5.5,5.75,871200,1.9768167734146118,0.0,0.0
TLK,2000-01-06,5.6875,5.6875,5.5625,5.65625,783400,1.9445868730545044,0.0,0.0
TLK,2000-01-07,5.65625,5.875,5.59375,5.875,1040800,2.019791841506958,0.0,0.0
TLK,2000-01-10,5.875,6.0,5.78125,6.0,895000,2.0627660751342773,0.0,0.0
TLK,2000-01-11,5.75,5.90625,5.75,5.875,885400,2.019791841506958,0.0,0.0
TLK,2000-01-12,5.71875,5.90625,5.71875,5.875,194000,2.019791841506958,0.0,0.0
TLK,2000-01-13,5.9375,5.9375,5.78125,5.9375,499400,2.04127836227417,0.0,0.0
TLK,2000-01-14,5.875,6.0,5.875,6.0,617400,2.0627660751342773,0.0,0.0
TLK,2000-01-18,5.9375,5.9375,5.6875,5.8125,754200,1.9983047246932983,0.0,0.0
TLK,2000-01-19,5.25,5.4375,5.25,5.375,937000,1.847894310951233,0.0,0.0
TLK,2000-01-20,5.53125,5.5625,5.375,5.40625,689200,1.8586381673812866,0.0,0.0
TLK,2000-01-21,5.4375,5.4375,5.28125,5.34375,275600,1.8371505737304688,0.0,0.0
TLK,2000-01-24,5.3125,5.3125,5.125,5.125,806400,1.7619458436965942,0.0,0.0
TLK,2000-01-25,5.125,5.15625,5.03125,5.09375,727600,1.7512028217315674,0.0,0.0
TLK,2000-01-26,5.09375,5.1875,5.09375,5.15625,181000,1.7726895809173584,0.0,0.0
TLK,2000-01-27,5.1875,5.3125,5.1875,5.25,363800,1.8049200773239136,0.0,0.0
TLK,2000-01-28,5.09375,5.15625,5.0,5.03125,408400,1.72971510887146,0.0,0.0
TLK,2000-01-31,5.0,5.03125,4.875,5.0,1624000,1.7189712524414062,0.0,0.0
TLK,2000-02-01,4.8125,4.875,4.8125,4.875,433800,1.6759976148605347,0.0,0.0
TLK,2000-02-02,4.8125,4.8125,4.53125,4.59375,1699400,1.579304575920105,0.0,0.0
TLK,2000-02-03,4.71875,4.75,4.65625,4.6875,1120800,1.611535906791687,0.0,0.0
TLK,2000-02-04,4.875,5.0,4.84375,5.0,933200,1.7189712524414062,0.0,0.0
TLK,2000-02-07,5.09375,5.25,4.96875,5.1875,905200,1.7834330797195435,0.0,0.0
TLK,2000-02-08,5.25,5.25,5.09375,5.21875,422000,1.7941765785217285,0.0,0.0
TLK,2000-02-09,5.25,5.46875,5.09375,5.4375,1481200,1.8693815469741821,0.0,0.0
TLK,2000-02-10,5.40625,5.46875,5.34375,5.4375,834000,1.8693815469741821,0.0,0.0
TLK,2000-02-11,5.34375,5.375,5.125,5.21875,728200,1.7941765785217285,0.0,0.0
TLK,2000-02-14,5.21875,5.25,5.125,5.25,1154400,1.8049200773239136,0.0,0.0
TLK,2000-02-15,5.15625,5.21875,5.125,5.21875,555400,1.7941765785217285,0.0,0.0
TLK,2000-02-16,5.09375,5.09375,5.03125,5.0625,362200,1.740458607673645,0.0,0.0
TLK,2000-02-17,5.0,5.0,4.9375,4.96875,605000,1.7082282304763794,0.0,0.0
TLK,2000-02-18,5.0,5.15625,4.96875,5.125,813000,1.7619458436965942,0.0,0.0
TLK,2000-02-22,4.9375,4.9375,4.75,4.875,879000,1.6759976148605347,0.0,0.0
TLK,2000-02-23,4.875,4.96875,4.875,4.9375,374400,1.6974841356277466,0.0,0.0
TLK,2000-02-24,4.75,4.78125,4.59375,4.65625,819400,1.6007918119430542,0.0,0.0
TLK,2000-02-25,4.71875,4.84375,4.65625,4.78125,715400,1.6437664031982422,0.0,0.0
TLK,2000-02-28,5.0,5.0,4.78125,4.875,353000,1.6759976148605347,0.0,0.0
TLK,2000-02-29,4.75,4.875,4.6875,4.84375,272200,1.6652534008026123,0.0,0.0
TLK,2000-03-01,4.8125,4.84375,4.6875,4.8125,319800,1.6545099020004272,0.0,0.0
TLK,2000-03-02,4.6875,4.6875,4.5625,4.59375,1209800,1.579304575920105,0.0,0.0
TLK,2000-03-03,4.625,4.71875,4.59375,4.71875,616400,1.6222792863845825,0.0,0.0
TLK,2000-03-06,4.59375,4.6875,4.5625,4.5625,880400,1.5685614347457886,0.0,0.0
TLK,2000-03-07,4.5625,4.625,4.53125,4.53125,407600,1.5578181743621826,0.0,0.0
TLK,2000-03-08,4.59375,4.6875,4.5625,4.65625,559800,1.6007918119430542,0.0,0.0
TLK,2000-03-09,4.8125,5.0625,4.75,5.03125,712600,1.72971510887146,0.0,0.0
TLK,2000-03-10,5.03125,5.03125,4.9375,4.96875,293600,1.7082282304763794,0.0,0.0
TLK,2000-03-13,4.9375,4.9375,4.84375,4.84375,645600,1.6652534008026123,0.0,0.0
TLK,2000-03-14,4.90625,4.90625,4.84375,4.875,307600,1.6759976148605347,0.0,0.0
TLK,2000-03-15,4.8125,4.875,4.78125,4.84375,208200,1.6652534008026123,0.0,0.0
TLK,2000-03-16,4.84375,4.9375,4.75,4.9375,420000,1.6974841356277466,0.0,0.0
