symbol,date,open,high,low,close,volume,adjclose,splits
UXIN,2018-06-27,1040.0,1049.0,816.0,967.0,199424,967.0,0.0
UXIN,2018-06-28,1020.0,1037.0,909.2999877929688,977.0,36055,977.0,0.0
UXIN,2018-06-29,1001.0,1006.0,881.0,904.0,23558,904.0,0.0
UXIN,2018-07-02,860.0,876.9000244140625,801.0,815.0,23635,815.0,0.0
UXIN,2018-07-03,842.0,869.0,820.0,850.0,12870,850.0,0.0
UXIN,2018-07-05,838.0,847.0,765.0,780.0,26502,780.0,0.0
UXIN,2018-07-06,744.0,787.2000122070312,705.0,734.0,27967,734.0,0.0
UXIN,2018-07-09,755.0,780.0,711.0,766.0,18404,766.0,0.0
UXIN,2018-07-10,770.0,770.0,734.0,747.0,12531,747.0,0.0
UXIN,2018-07-11,735.0,780.0,718.0,773.0,15876,773.0,0.0
UXIN,2018-07-12,783.0,860.0,770.0,845.0,20503,845.0,0.0
UXIN,2018-07-13,870.0,875.0,801.0,864.0,16949,864.0,0.0
UXIN,2018-07-16,858.0,860.0,828.0,839.0,11921,839.0,0.0
UXIN,2018-07-17,833.0,845.9000244140625,821.0,835.0,8014,835.0,0.0
UXIN,2018-07-18,832.0,840.0,793.0,800.0,11333,800.0,0.0
UXIN,2018-07-19,791.0,794.9000244140625,754.0,754.0,12674,754.0,0.0
UXIN,2018-07-20,754.0,769.0,740.0,756.0,7098,756.0,0.0
UXIN,2018-07-23,768.0,790.0,760.0,765.0,6074,765.0,0.0
UXIN,2018-07-24,768.0,780.0,744.0,766.0,10571,766.0,0.0
UXIN,2018-07-25,765.0,777.0,749.0,761.0,6779,761.0,0.0
UXIN,2018-07-26,753.0,757.0,691.0,698.0,18303,698.0,0.0
UXIN,2018-07-27,697.0,697.5,650.0,651.0,13873,651.0,0.0
UXIN,2018-07-30,651.0,659.0,547.0,575.0,24309,575.0,0.0
UXIN,2018-07-31,583.0,616.0,508.0,616.0,21098,616.0,0.0
UXIN,2018-08-01,600.0,630.0,585.0,616.0,9497,616.0,0.0
UXIN,2018-08-02,609.0,678.0,562.0,675.0,15400,675.0,0.0
UXIN,2018-08-03,609.0,699.0,609.0,688.0,8324,688.0,0.0
UXIN,2018-08-06,680.0,680.0,622.0,651.0,3971,651.0,0.0
UXIN,2018-08-07,648.0,681.0,630.0999755859375,673.0,4845,673.0,0.0
UXIN,2018-08-08,671.0,673.0,646.0,662.0,4770,662.0,0.0
UXIN,2018-08-09,662.0,708.0,653.0,671.0,3984,671.0,0.0
UXIN,2018-08-10,668.0,698.0,652.0,657.0,2863,657.0,0.0
UXIN,2018-08-13,645.0,657.0,591.0,614.0,4366,614.0,0.0
UXIN,2018-08-14,604.0,606.0,545.5,567.0,14577,567.0,0.0
UXIN,2018-08-15,535.0,560.0,522.0,526.0,4546,526.0,0.0
UXIN,2018-08-16,558.0,569.0,535.0,557.0,9436,557.0,0.0
UXIN,2018-08-17,552.0,564.0,524.0,526.0,7996,526.0,0.0
UXIN,2018-08-20,533.0,555.0,513.0,520.0,8214,520.0,0.0
UXIN,2018-08-21,530.0,658.0,526.0,624.0,37547,624.0,0.0
UXIN,2018-08-22,630.0,670.0,564.0,663.0,35718,663.0,0.0
UXIN,2018-08-23,662.0,706.7000122070312,635.0,664.0,17871,664.0,0.0
UXIN,2018-08-24,663.0,663.0,611.0,619.0,6508,619.0,0.0
UXIN,2018-08-27,620.0,640.0,594.0,621.0,10011,621.0,0.0
UXIN,2018-08-28,621.0,639.0,613.0,627.0,4338,627.0,0.0
UXIN,2018-08-29,627.0,633.0,610.0,617.0,4019,617.0,0.0
UXIN,2018-08-30,618.0,622.5,580.7000122070312,593.0,7403,593.0,0.0
UXIN,2018-08-31,588.0,605.2000122070312,579.0,593.0,3120,593.0,0.0
UXIN,2018-09-04,593.0,595.0,580.0,592.0,2680,592.0,0.0
UXIN,2018-09-05,583.0,586.0,534.0,544.0,11545,544.0,0.0
UXIN,2018-09-06,549.0,557.7000122070312,530.0999755859375,534.0,6152,534.0,0.0
UXIN,2018-09-07,533.0,566.0,526.0,538.0,4657,538.0,0.0
UXIN,2018-09-10,539.0,544.0,528.0,533.0,4694,533.0,0.0
UXIN,2018-09-11,534.0,541.0,518.0,520.0,7095,520.0,0.0
UXIN,2018-09-12,520.0,527.0,488.0,504.0,11073,504.0,0.0
UXIN,2018-09-13,530.0,540.0,507.0,514.0,7798,514.0,0.0
UXIN,2018-09-14,516.0,567.0,516.0,522.0,13052,522.0,0.0
UXIN,2018-09-17,520.0,530.0,503.0,506.0,3667,506.0,0.0
UXIN,2018-09-18,524.0,527.0,502.0,503.0,3295,503.0,0.0
